,Category,Response_preprocessed
783,ConnectLater,"As previously informed, the already handed over the project and it is not our responsability anymore to buy the products. As I said, for the next projects (if any) we will contact you. but for the time being, we are far from this. Will contact you in case we have any future inquiry.
Regards,"
2872,ConnectLater,"Apologies for the late reply, Ive been traveling quite extensively a bit
lately. Once Im settled in, I will be sure to write to you regarding any
further conversations henceforth. Many thanks for your patience until then."
2091,OutOfOffice,"Thanks for your email,
I am on parental leave returning on 1 February 2021."
742,OutOfOffice,"I am out of the office until 29.04.2020.
Dear Sender!
I am currently not available and will return on April 29.
regards,
Christian"
2782,ConnectLater,"Hi Tanvi , we will get back to you ."
2515,OutOfOffice,"Please note that I will be on vacation September 14 to 18 with limited access to emails. If your matter is urgent, please send me a text at (647) 201 - 1798. I will get back to emails as soon as possible. Thank you"
1933,Unsubscribed,We do not have any such requirement.Pls do not follow up.
965,OutOfOffice,"I will be out of the office until Monday August 3rd, please reach out to Kim Pike or Jizelle Creek for any urgent requests or questions."
1498,OutOfOffice,"Thanks for your message. Im out of the office for the holidays and will return on Friday, January 3. I look forward to responding to your message when I return. If you need immediate assistance please call or text my cell, 612-209-7967. Thanks."
3029,AgreedToMeet,Fix a zoom call next week. 
2103,OutOfOffice,"Thank you for your email!
Please be advised that I am currently out of office.
Should you have any urgent requirements please contact the EX Resource Center<https://sites.google.com/a/forrester.com/how-to-forrester/howto-s/strategic-growth/how-to-contact-the-global-strategic-growth-resource-center-sg-forryou>.
Alternatively I will revert on my return.
Kind Regards,
Himanshu"
1022,ConnectLater,"Apologies for the late response. In regards to your call, I will let you know the appropriate time."
2254,SeekingMoreInfo,Who will be the Trainer? How you will connect with the Sales and Marketing Team Members?
3020,ConnectLater,I am currently running a virtual assessment centre so will come back to you as soon as possible.If urgent please contact Jack Smith jsmith@pareto.co.uk.
247,Deactivated,The individual you are trying to reach is no longer with The Chartis Group.
871,ConnectLater,"Thank you for your email. I'm in meetings all day today with limited access to emails. If your email is urgent, please call the office on 0330 223 5253."
1244,Deactivated,As of 13 November 2020 I have ceased employment with Mercy Health to move to another organisation. Thank-you for your message.
1041,OutOfOffice,"Hello, I will be out of the office until 7/3 with very limited access to voicemail and email. Please reach out to Adam Fuoss at afuoss@silver-peak.com during this time. Regards, Pat Gilbreath"
1278,OutOfOffice,"I am out of the office until 04/01/2021.
I am currently out of office and would reply your message once I am back."
2882,OutOfOffice,"I am on PTO Dec 23 through Jan 1
Please, expect a delayed response. I will respond to your request when I return."
626,OutOfOffice,"I am off Thursdays and Fridays. I will respond to your e-mail as soon as possible.
Best regards.
Michael Rihovsky"
347,ConnectLater,"I already informed my senior manager about your oil purifier, so please
wait he will inform you.
Thank you."
278,ConnectLater,"Hi, I am attending the Business Pulse till 19th Sep. During this period, emails can be choppy and you can reach me on whatsapp message. Alternatively, you can get in touch with my assistant at dorothy.d'souza@se.com
Best
Bidisha"
2018,Unsubscribed,UNSUBSCRIBE
2422,OutOfOffice,"Hi - I am out of the office for the holidays and will be back on Friday, January 3."
655,Deactivated,"I do not have any immediate requirements. If you are keen to work with Microsoft, it will be good for you to reach out to Microsoft India partner management team to become a partner and the work on the GTM plans.
With Regards,"
1377,OutOfOffice,"Thank you for your email. I'm out of the office today with limited access to emaill. Shall respond as soon as possible.
Kind regards,
Venkatesh"
979,Deactivated,"Thanks Netra, we dont have any requirement as of now."
1048,OutOfOffice,"I will be out of the office until Friday, August 2nd, 2019."
907,OutOfOffice,"Thank you for your email,
Please note that I am out of the office during the holiday end of year break returning on Jan 4th 2021. For any urgent issues please text or call me at 416 346 1782
Thank you,
Regards,
Luciano"
2781,OutOfOffice,Please note that I am currently out of office. The limited access to my e-mails can cause delay in the replies during my absence.
2741,OutOfOffice,"I am out of the office fromthe EOD Friday 12/18 through Friday 12/25. I will reply to messages when possible.
Thank you,
Ed Wood"
3070,OutOfOffice,I am out of the office through Friday 6th August and my response will be delayed.  If your matter is urgent please reach out to Lorraine Betts for assistance.T
911,SeekingMoreInfo,"Thanks for all your mails. These mails are good but not sure on how things can work out. We can have a call for sure to understand more.
Regards
Abhijit"
1937,OutOfOffice,"Thanks for your email. I'm on leave on Friday 25th of September and will be returning Monday 28th. I will respond to your email on my return. Have a great day.
Shane"
632,ConnectLater,"Will connect in case we need help, thanks.
Regards,
Pranay Prakash"
2724,Deactivated,Sorry but your emailing the wrong person.
445,OutOfOffice,I am currently out of the office returning on Monday December 28th. I will have limited access to email while I am out.
617,OutOfOffice,"Thanks for your email. I am on leave and my response will be delayed.
Regards, Daphne"
2113,OutOfOffice,"Thank you for your email, however I'm out on personal leave till 13th Jan, 2020."
2549,SeekingMoreInfo,May I know What you want to discuss about my property?
1461,OutOfOffice,"I am out of the office for the U.S. Christmas holiday, returning Monday, December 28.
If you need immediate assistance during my absence, please contact Steve B. Otherwise I will respond to your emails as soon as possible upon my return. Thank you for your message."
2606,OutOfOffice,"Thank you for your email. Please be informed that I am away for the following reason (s);
[ X ] Annual Leave
[ ] Emergency / Medical Leave
[ ] Public Holiday
[ ] Training / Conference / Staff Gathering
[ ] Business Trip
[ ] External Meeting / Appointment
Please expect delay in my reply as I will attend to your email upon my return on 22 December 2020. Any inconvenience caused is deeply regretted.
Thank you.
Regards,
Tanuja Krishnan"
2974,OutOfOffice,Thank you for reaching out Active Minds is closed Friday June 4 for one of our Summer Mental Health Fridays. I will be checking email intermittently to respond to any urgent requests. Otherwise I look forward to returning your email when I return on Monday
2705,Deactivated,No thanks.
1073,OutOfOffice,"I am on vacation in the time from 21.12.2020 to 04.01.2021.
My e-mails will not be processed during this time."
2247,ConnectLater,Send me your brochure. Will let know later.
353,OutOfOffice,"I am out of the office until 06.04.2020.
Dear Sender!
I am currently not available and will return around April 6th. I will check
my emails on a regular basis - in case of urgent topics, you can reach me
via my mobile phone.
regards,"
613,OutOfOffice,"Thank you for your email. I am currently OOO and returning on July 6. For urgent matters, please call my cell 857-234-9094"
2909,OutOfOffice,"Thanks for your email, I am currently offline and will return on Monday 23 November."
2870,ConnectLater,"i will call you,if there is any need."
1983,OutOfOffice,I will be out of the office until July 6th with limited access to email.
57,OutOfOffice,"I am out of the office until 04/01/2021.
I am currently out of office and would reply your message once I am back.
For urgent matters please contact Dennis or Karishma of HR Dept."
1784,OutOfOffice,Thanks for your email. I am on personal leave with limited access to email and call.
1370,OutOfOffice,"Thank you for your email. I will be out of office till 18-Dec. Please expect a delay in response
Best Regards
Rony"
2330,OutOfOffice,"Thanks for your note; I'll be off-line Friday, May 22, from noon to 5:00 p.m. EDT. If you need immediate attention, please email: marketingteam@itx.com"
2758,OutOfOffice,"Thanks for your mail , I am on leave today , Your Email response might be delayed."
1950,Deactivated,"I went through the information which you have shared, it seems to be
promising but I don't remember showing interest in this firm any time soon.
Can you please share how you got to know about me?
I have been through the brochure and various videos, but currently, I don't
think I am ready or interested to take this further. Though, thank you for
taking out time to share this and following up with me."
1690,OutOfOffice,Monday 3rd Aug is a public holiday in India. Please expect delayed responses over the long weekend.
2310,AgreedToMeet,pl feel free to meet us at our office for any of your useful product. You may visit next week.
2590,OutOfOffice,"Thank you for your email. I am out of the office on personal time, returning Tuesday. ########"
2387,Deactivated,"I hereby confirm the receipt of your email, I would like to take the
opportunity to apologize for the late reply.
I have been looking for a similar product for oil purification for a while,
and I am glad that your product provides such a service.
Unfortunately due to the global pandemic, our plant is running at a lower
than the minimum capacity, accordingly we will have to postpone acquiring a
similar product for a while."
1926,Unsubscribed,UNSUBSCRIBE
560,Deactivated,"Not interested
Thx"
707,AgreedToMeet,Thanks
3013,SeekingMoreInfo,Apologies for the delay in coming back to you in Africa this week with spotty service. Thank you sharing this opportunity this does indeed read like something I would be interested in and I am keen to hear more about it - being hands-on and entrepreneurial it js very much what I want out of a role. I am on annual leaved for next week but I can make myself available for a call whenever works for you
424,OutOfOffice,"Thank you for your email. I am currently on PTO traveling internationally through 11/17/2019 and will be slow to respond.
If you have an urgent need, please ping 1.940.230.6868; otherwise I will respond to your email as soon as I am able.
Ash"
647,SeekingMoreInfo,"Do you conduct work in Canada?
Regards,"
1912,ConnectLater,will revert back soon
1344,Deactivated,No needs thanks.
1234,Deactivated,"Thanks for reaching out.
We are not looking for Recruitment vendors at the moment."
1105,SeekingMoreInfo,"We have an opening for IT positions
Dot net profiles - We have 25 open positions
Let me know if you can support us"
1005,OutOfOffice,"Thankyou for your email. I am currently out of the office. If the matter is urgent please contact the GWF Service Desk on 1800 893 042 (AU), 0800 445 187 (NZ). I will review your email upon my return."
620,OutOfOffice,"Thanks for your mail. I have no access to mails on account of a holiday. Please expect a delay in revert. For anything urgent, please call/text.
Warm regards,
Itish"
2424,ConnectLater,"Presently we do not require said service , we call you if any service is
required."
553,Unsubscribed,Pls unsubscribe
2822,ConnectLater,"Not at this time, may be later when I am back in India"
1584,ConnectLater,"Due to corona, Compnay has been locked down and not sure yet for startup.
We will discuss afterward."
998,AgreedToMeet,"Thank you.
Thanks & Regards,"
1385,SeekingMoreInfo,Please share your number so we can discuss in details.
2223,OutOfOffice,"Dear Sender, Thank you for your message.
I'm off without mail access for Easter Public holidays. Will reply upon my return on Tuesday April 14th.
Best regards,
Luca"
2908,OutOfOffice,"Thanks for your email. I am away from work.
Please expect a delay in response.
Regards,
Farha Shaikh."
3160,OutOfOffice,I will be out of the office returning on Monday March 22nd. If you need immediate assistance please contact the support desk at 720-248-3580 or roc@optimumnetworking.com.
1674,OutOfOffice,Hello and thanks for your email. Im currently away from the office until November 17 and am going to do my absolute best to not look at email while Im away.
440,Deactivated,"Sorry Im not interesting for your FarmERP Software Solution.
Regards"
508,ConnectLater,"Thank you for contacting Green Park, we will endeavour to respond as soon as possible."
589,AgreedToMeet,"Thank you for speaking to your manager and taking out time.
We would be happy to share the revenue with you.
Thanks and Regards"
2979,ReferredSomeone,I am no longer with Confluent Medical as of April 9th 2021.For Confluent Fremont Quality Assurance matters  please see Chuck Faris Sr. VP QualityRegulatory Confluent Medical Technologies mailto:Chuck.Faris@confluentmedical.com Chuck.Faris@confluentmedical.com
649,AgreedToMeet,"thanks for coming back. Not yet , I have a demo session with you about the
sales assistant position, maybe nice to see the difference to a recruitment
assistant.
Best regards
Annett"
2594,Unsubscribed,No interest remove me from list
1697,OutOfOffice,I will be out of the office with no access to email until Wednesday September 23rd. Please contact paymentinquiries@djj.com or call 877-848-5276.
1381,ReferredSomeone,Please note that my official mail id has been changed to new mail id (manish.kumar3@jbmgroup.com). please<mailto:manish.kumar3@jbmgroup.com).%20%20please> use new mail id for future communication .
1670,SeekingMoreInfo,"We are not proceeding with HR services at this time.
The Decision is made because we were looking for a replacement for the
Engineers in case they don't perform well. We will have to analyse further
how to proceed from here."
1921,OutOfOffice,I am on leave on 16 December. Please expect delay in my reply.
630,ReferredSomeone,"I have resigned from JSW now. I had informed about your company and also
forwarded your mail to Mr. Udayraj Kawari, HSM-1 hydraulic manager.
Kindly contact him for further process.
Mail Id: uday.kawari@jsw.in
Stay Safe
Regards,"
1425,SeekingMoreInfo,"Since my domain is natural gas pipeline operations , hence oil purification is of not much use to me as of now.
However I will be willing to discuss about similar requirements of Natural Gas industry.
Currently we are looking for auto drainage systems in natural gas filtering."
482,Unsubscribed,"At a certain point, your constant, persistent emails are just fucking
annoying. I didn't solicit you, so why are you invading my world?
Unsubscribe me."
1665,Unsubscribed,I am not interested. Don't call me again.
2716,ReferredSomeone,"Thank you for your email, I have shared this with our recruitment team."
1237,OutOfOffice,"** Special Message **
I am out of the office on vacation and will return on Monday, Jan 6th.
I will check email once a day during this time. If you need me urgently, please text or call my mobile at +1 646-319-4866."
2592,ConnectLater,I have sent profile to concerned team. They will revert if needed. Need not send repeated emails on the subject.
2186,OutOfOffice,"Thank you for your email, I am currently out of the office with no access to email or voicemail. I will return on Tuesday 12/8/20."
2382,ConnectLater,"I am sorry that we are currently busy right now.
Appreciate if you can wait for our call if we seriously need your service
in the near future."
856,OutOfOffice,"I will be out of the office and limited access for the holidays. I
will return messages when I return after Monday, 1/4. For any
emergencies, please contact Jessica at jessica@carbonhealth.com or
send me a text 415-769-6098.
Thanks for your patience.
All the best,
Kimberly"
2480,OutOfOffice,"Thank you for your message, I am currently out of the office returning on Monday 6/22. In my absence, please contact jonathan.corbett@inspirage.com.
Marc"
530,OutOfOffice,"I will be out of office currently and will only be back on 27 August 20.
My response to your email might be delayed.
Thank you for youe understanding!
Best Regards,
Andy Gan"
2402,OutOfOffice,I'm not in the office until September 28th 2020. I've only limited access to my email account during this time. Your email will not be answered until I'll be back in office.
49,Deactivated,"Thank you for reaching out, but we are not interested in this offer."
858,Deactivated,"Thank you for your email but at this moment we not interested with your service.
Thank you
Regards"
1072,OutOfOffice,I'm currently on Annual Leave and will be returning to work on Monday 11th January
719,OutOfOffice,"Thank you for your email. Im currently out of the office. I will return Monday, December 28th. If you need immediate assistance, please contact Allison Inman at ainman@hubgroup.com."
2089,ReferredSomeone,"Thank you for your email. I have left MTU India and your email is not forwarded.
Please get in touch with Mr. Anup Dandekar on Email: anup.dandekar@rolls-royce.com"
1525,OutOfOffice, Thank you for your email!  I am currently away from office and will attend to your email when back.
2700,OutOfOffice,"I am out of office on 12/4, and between 12/14-1/3. I will return to the office on 1/4/2021. Contact my cell if you need anything 617-459-3541"
1472,ConnectLater,"I will definitely come to know with opportunity, we are individually
working for the future business . Thanks"
1660,OutOfOffice,I am out of office on leave until Monday 17th August.
2262,OutOfOffice,"Thank you for your message. I will be out of the office until Friday, September 11th. I will respond to your message at my earliest opportunity upon return.
Thank you and warm regards,
Gretyl Rabe"
1462,SeekingMoreInfo,Please let me know when we can connect and take care of your health.
2371,OutOfOffice,"Thank you for your email. I am out of office. Please expect delay in my response. Warm Regards, Namrata
This e-mail message, and any attachments, is intended only for the use of the individual or entity identified in the alias address of this message and may contain information that is confidential, privileged and subject to legal restrictions and penalties regarding its unauthorized disclosure and use. Any unauthorized review, copying, disclosure, use or distribution is strictly prohibited. If you have received this e-mail message in error, please notify the sender immediately by reply e-mail and delete this message, and any attachments, from your system. Thank you."
1459,SeekingMoreInfo,Yes pls would want to understand more
1406,ConnectLater,"Thank you for the email. If I need assistance, I may reach out to you."
2744,ConnectLater,"Thanks , but this is not in our priority or interest as of now"
1882,ReferredSomeone,"Effective, 1/31/20, I no longer work for Dynatrace.
Please reach out to David St. Cyr (david.stcyr@dynatrace.com) with any questions."
2325,OutOfOffice,"Thank you for your message. I will be out of the office through Monday, July 6."
2786,OutOfOffice,I will be out of the office November 24 - 27th. I will respond once I am back in the office.
2713,Deactivated,We are not interested.
297,Deactivated,"Please note I am now working in BMW Group Munich, Germany.
With best regards,
Vikrant Singh"
1559,OutOfOffice,"Thank you for your email.
I am out of the office until Friday 25th November with no email access and will respond upon my return."
1716,ConnectLater,We dont have the need as of now. Will connect with you in future if need comes up.
958,OutOfOffice,"I will be out of the office Monday September 14th through Friday September 18th with limited access to internet. I will be periodically checking email and I will respond at my earliest convenience.
Thanks
Meagen"
2615,SeekingMoreInfo,"Hi Tanvi , Can u send me details on my id ."
1454,SeekingMoreInfo,"Thanks for a super-fast response and connecting us to your colleagues.
Please share your direct contact details so that we can connect quickly."
1233,OutOfOffice,"I am offsite this week.
Thanks."
349,AgreedToMeet,"Sure. Whats your number? Any day works. Post 4 PM, any time. Lemme know."
1411,OutOfOffice,"I am on personal leave and will have limited access to email communications.
Kindly sms or call me in case of urgency and I will respond as soon as possible."
643,ReferredSomeone,"The request was done a long time ago and we've already had a few
engagements with the team.
As mentioned, Kertijah would be the best to contact with regards to the
implementation as I am no longer in the relevant department.
Thank you"
1413,OutOfOffice,Our Kolkata office would be closed for holidays on account of Doljatra & Holi on 09th & 10th March 2020.
2428,OutOfOffice,"Thank you for your email. I am currently attending a seminar with limited access to emails. I will be responding to your email at the earliest convenience. If the matter requires urgent attention, please contact CTS Reception on 1300 283 247.
Regards,
Henning"
669,ConnectLater,"Sorry for late response....nothing at the moment and no requirements for the call.
Be assured we will let you know if anything is required.
Appreciate your notes.
Thanks"
1407,SeekingMoreInfo,Let me know.
2610,OutOfOffice,I will be out of the office starting Thursday 10/29/2020 through Monday 11/2/2020. In my absence please feel free to leave me a vm/email message and I will get back to you upon my return
1927,OutOfOffice,Hi. i am on sick leave today. pls expect a delayed response
1814,OutOfOffice,"Thank you for your email. I am taking some personal time and will not be regularly checking email to try and properly rest. If you need anything immediately, please feel free to ring, SMS, or WhatsApp me at +1 (202) 802-0654.
I will return to the office on Monday, November 11."
2953,OutOfOffice,I will be out of office untill 08/11/2020 with limited access to my e-mails.
3097,ConnectLater,Thanks for letting me know about the boi engery work opportunities currently avalable which wont be able to get them because I am setteled in Iraq. I am planning to return to the UK in the near future an hoprfully will be working together. 
1743,OutOfOffice,"I will be out of office tomorrow 12/11 and Monday 12/14, returning Tuesday 12/15."
786,OutOfOffice,"Thank you for your email,
I am currently on leave and will be back in the office on the 17th March 2020. Do expect delays in replying to email.
For urgent matters please contact the below person,
Danny Tey - TitHowDanny.Tey@bakerhughes.com (+673 7175512)
Apologies for the inconvenience cause.
Best regards,
Lau
Lau"
3157,Deactivated,I am not Darlene also not interested in a form email.
140,AgreedToMeet,"my mobile phone number is +49 172 989 7062.
You can call me any day. I have vacation so IÂ¬Â¨Â¬â€¢m free the whole day.
Just please tell me approximately when You will call.
Kind regards
Sandro Milosevic"
788,OutOfOffice,"I will be out of the office with limted cell service and internet until Thursday 9/17.
If you need immediate assistance during my absence, please contact Gary Smith (gsmith@cronimet.com) or Ana Leon (510-963-2309).
Thanks!"
1754,SeekingMoreInfo,"We are looking for recruitment agencies for our requirements. We are into
IT services and IT staffing.
The revenue sharing will be 6% of the CTC.
If it is OK for you please call me tomorrow."
2965,ConnectLater, in UAE  GCC ME and MEA  the market has just startedopening up we would wait till the end of Q2 -2021 and take our final callon few add ons which we want only starting July 2021 not before that. Be intouch all the Best 
714,OutOfOffice,"Thank you for your email,
I will be out of the office beginning Thursday October 21, returning on Monday November 2nd, on PTO. I will have limited access to email."
2390,OutOfOffice,We have a public holiday today. Please expect a delayed response to mails.
1746,SeekingMoreInfo,Sure Richa. A call would help to understand better
1628,ReferredSomeone,I will be on a short vacation starting from Mar 1 - Mar 4.
1563,OutOfOffice,I am currently out of office until Sunday 20th September with limited access to emails.
618,OutOfOffice,"I am on sick leave today. Any urgent case, please call me @ 86 18524112909.
Thanks for your understanding."
406,AgreedToMeet,"Greetings of the day!
Thank you for approving our proposal.
We are glad to again start our pest control services for Daifuku India.
Please find the attached invoice for same.
We shall ensure best of our services.
Kind Regards,
Prince."
2233,OutOfOffice,"I am currently out of the office, returning September 14th. Please allow a few hours for a response to emails and calls. For immediate assistance please call +1 330 562 1440."
2865,OutOfOffice,Thank you for your email. I will be out of the office until the 15/07/2020.
2719,Unsubscribed,"Why do you keep in pushing your product and spamming us? It is not even
relevant.
And who is Emma? I've been working with this company for a couple of years
now and we didn't have Emma who works for us.
Your approach to businesses is really terrible. Is that the way you
approach businesses there in India?"
1289,ConnectLater,"Due to existing pandemic of the CoronaVirus, Finolex Industries Limiteds management has decided to work with lean staff to minimise spread of CoronaVirus.
This could entail in a slight delay in our response.
Hope you will understand and co-operate."
1809,OutOfOffice,"Hello, I am currently out of the office and return Monday 4 January 2020."
497,OutOfOffice,"Thank you for your email.
I am on planned leave from 13th Nov and will resume work on 23rd Nov with no access to my emails.
For urgent discussions, please message me on Whatsapp +91 8657414666 otherwise I will respond to your emails as soon as possible upon my return.
Happy Diwali!
Thanks,
Neha"
342,Deactivated,"This is not relevant to us
Thanks."
3129,ReferredSomeone,Thankyou for your email.  Please note that I no longer work for WDP.  This inbox is not monitored and your email has not been forwarded.  For assistance please contact hr@wdp.com.au
2408,OutOfOffice,"I am on holidays, returning June 29."
782,ConnectLater,"Thanks for your mails and reminders.
I had conveyed earlier , I have shared the company profile to technical services and sorry to inform you that concerned person was on long leave.
Now he has resumed back and I am in touch with him to have a call in this week only.
I will get back to you by Wednesday.
Apologies for long delay and inconvenience caused to you.
Regards"
2216,OutOfOffice,"Thank you for your email.
I am currently out of office for customer visit with limited access of mails, so you can expect delay in response."
303,OutOfOffice,"Due to the COVID-19 Pandemic, I am on Furlough, until further notice.
Please contact Di Krehbiel at: Di@DKKDstaffing.com."
1878,Deactivated,Not looking for any recruiting now.
664,AgreedToMeet,"You can call me on whatsapp on Monday after 04:00 pm BD time.
Regards,
Tamjid Hasan"
2921,Deactivated,Hi No interest at this time
1651,OutOfOffice,"Thank you for your mail.
I am on official travel on 3rd Jan 2020. Will have limited access to E-mails. Please expect a delay in my response."
2926,OutOfOffice,Thank you for your email. I am currently out of the office and will be returning on Monday November 30th.
1656,SeekingMoreInfo,"Nageshwari was not in the service now, tomorrow by 11 am you can reach me
to the below number , i want to know about the service and term.
Regards,"
84,ReferredSomeone,"I am on leave today. Please reach out to Mr Sabareesh Kurup for urgent matters.
Regards
Kamalesh"
2351,OutOfOffice,I am currently on maternity leave with no access to mail.
941,OutOfOffice,"Thank you for your email.
I'm currently out of office.
For urgent matters regarding the migration factory or migration planning please contact IMSD.Migration.Factory@tui.com
Your Mail will not be forwarded.
Regards
Kai Naber"
961,OutOfOffice,"OUT OF OFFICE ALERT:
I will be out of the office tomorrow & returning 12/21. Please reach out to your customer service team for immediate load execution issues.
Regards,
Jeff Hoisington"
841,OutOfOffice,"I am on leave today with sporadic access to mails and shall respond by the evening.
Have a nice day!
Regards
Rajesh
This message contains information that may be privileged or confidential and is the property of the KPIT Technologies Ltd. It is intended only for the person to whom it is addressed. If you are not the intended recipient, you are not authorized to read, print, retain copy, disseminate, distribute, or use this message or any part thereof. If you receive this message in error, please notify the sender immediately and delete all copies of this message. KPIT Technologies Ltd. does not accept any liability for virus infected mails."
1510,Deactivated,"Sorry, I am retired, so no real need."
2702,OutOfOffice,"Thank you for your message. I am currently out of the office and will return on January 2. If you need to reach me, please text or call 201-208-4627. Happy Holidays!"
1632,OutOfOffice,"I am not in the office untill August 21st. I will get back to you as soon as possible after my return. In urgent cases, please contact my colleague Sascha Assmann, +49 711 310584 24 (assmann@division-one.com).
Kind regards,"
2910,OutOfOffice,"I will be out of the office Until Monday October 19, 2020 with limited access to emails."
290,Deactivated,This user no longer works for PPG
3069,OutOfOffice,I will be out of the office from Monday 517 - Friday 521. In my absence please reach out to Rich Ward EVP World Wide Sales or for services related issues please reach out to James Gahan Director of Technical Services.Their emails:richard.ward@keysight.commailto:richard.ward@keysight.comjames.gahan@keysight.commailto:james.gahan@keysight.com
1769,Unsubscribed,Hello Miss HarsitaThis is to inform you that currently I am relocating to a new place.Kindly don't flood my inbox with your mails.
604,OutOfOffice,"Thanks for your e-mail. I'm on leave on 23rd and 26th October with no access to e-mails. Please expect a delay in mail responses.
Regards,
Ritesh"
2168,ReferredSomeone,"We thank you for reaching out.
Our organization, through Corporate IT, has already chosen a partner for RPA and working with them currently.
Just for reference, I shall forward your email to them, so in case IT team is interested, they can reach out to you."
916,ConnectLater,"Thank you for your email. I have passed it on to our recruitment team, who
will get in touch with you shortly to follow up.
Thanks
Kevin"
2066,OutOfOffice,"Dear valued customer and friends,
Im currently out of the office with limited access to internet and email."
2597,ReferredSomeone,Thanks for our email and follow up. You need to connect with my colleague Siva. He is handling lateral requirements.
1099,SeekingMoreInfo,"I want to add one of my team members too in this call.
Could you please send the invite link, so that I may be able to share the
link with him too.
Thanks"
1088,OutOfOffice,"Sorry I missed you! I am currently out of the office enjoying Mammoth ! We will be returning Wednesday the 15th. If you should have an immediate need, please email adminassist@cybercoders.com. For all other concerns I will reply when I am back."
2232,OutOfOffice,"Thanks for your mail, I will be out of office today 02/03/2020 and will have limited access to email. if this is urgent, please contact Gaurav Virmani at gaurav.virmani@hkstrategies.com of 95407 60652. i will do best to respond to your email when i return on 03/03/2020./"
1465,OutOfOffice,Thank you for your email. I am out of the office Today (7/6). I will be returning to the office tomorrow.
821,ReferredSomeone,Thank you for contacting Vinformax Dimension Technology PVT LTD. We regret to inform you that Amit Anand is no longer employed here. Please direct any future correspondence to Varadarajan Seetharaman at varadarajan@vinformax.com.
2616,OutOfOffice,Hello! I am attending an all-day training today and will respond to your message at my first opportunity.
