,Category,Response_preprocessed
13,SupportAutoResponse,KellyWait what I cant believe it but its happening:Daniel Pink is coming to Celebrate.Hes a sales legend.He wrote the book on persuasion and gave the MasterClass about it.And hes headlining our virtual conference on December 2nd.That means you get to steal all of Dans persuasion secrets.For free.Sign up here to get your ticket.
112,AgreedToMeet, I am sorry I cannot make today. Probably best at 3pm tomorrow if that is ok
1491,ReferredSomeone,For technical support please contact the NexTraq Helpdesk at ithelpdesk@nextraq.com. For other assistance please contact Mark Bacchus IT Director at mark. bacchus@nextraq.com. 
3067,SeekingMoreInfo,With ref to the below email can you pls send an introduction email of your organization
1498,ReferredSomeone,Thank you for your email. I think your email should be for AUDs HR Office - not the Student Recruitment Office
870,ConnectLater,Thanks for reaching out. We wont be looking to hire full time engineersuntil the end of the year. Ill keep you in mind when we do. 
3150,Retired,I cant begin to think where you got my contact details.A position in Doncaster  Did none of my details state I am based in South Wales Please research things a little more carefully Last thing .... I am now retired ....thank God
1812,MovedOut,Ram Kishore K S is no longer working with Informatica and email address rams@informatica.com is no longer in use please direct any questions or correspondence to Kathryn Kane at kkane@informatica.com. 
473,SeekingMoreInfo,Thanks for showing interest in your services  please find attached ourcompany profile . Can we set a call to discuss more about it .  
938,AgreedToMeet,We can connect on Monday 6th Sep first half 11 - 11. 30 am
2571,SeekingMoreInfo,I have been receiving your emails and to be honest I just get so many fromdetailing companies all around that world that I have come to ignore themunless they were specifically referred to me and I know who they are.  Iapologize for that. Could you please let me know how you got my contact info
946,SeekingMoreInfo,Would be interested in exploring how we can conduct assessments throughyour products.
3094,MovedOut,I am sadly no longer working at Boots. Please contact Seb Walker Sebastian. Walker@boots. co. uk - 07384 915929 or Tracey Hartley Tracey. Hartley@boots. co. uk - 0115 9595981. 
3318,SupportAutoResponse,Thank you for your email. If you do not receive a reply from us within 24 hours it means that we have not received the communication. May we then request you to resend the same email again. Thank You
810,SupportAutoResponse,Thank you for your email. If you do not receive a reply from us within 24 hours it means that we have not received the communication. May we then request you to resend the same email again. Thank You
2345,ConnectLater,Apologies none of the services you mentioned are on our focus atthe moment we are not looking at temporary or permanent hires anytime soon
2247,MovedOut,I am no longer working at Redeam. Please reach out to Shane Whaley at shane. whaley@redeam.com
1254,AgreedToMeet,Kindly arrange call plz
656,SeekingMoreInfo,Please share with me your contact details and I can give you a call. However I would like to understand a few things before we get intobusiness. Cheers PR
2124,SeekingMoreInfo, Received with thanks your contact. Kindly request you to consult Petrotec  website and Social Media where you can see that Ocean Team Qatar is the Purity Solutions department and the leader of Oil Care Services in Qatar. Feel free to consult us to clarify any question. 
362,Unsubscribed,Please Amruta remove our email address from your database as we are not interested in your services.
136,Deactivated,Not interested please
2502,SeekingMoreInfo,Can you share me your company profile and agreement. 
2471,ReferredSomeone,I am currently transitioning my role. Please direct all of AE related mail to our CIO Raj Madanraj@advisorengine.com raj@advisorengine.com
2326,AgreedToMeet,I am sharing a Request for Information regarding The Bachrach Group - Titan Project as we would love to team up with you. Would you mind providing an offer and your availability for the scope of work Also should you have any questions please do not hesitate to ask me. Would you please send a reply email to acknowledge receipt of this RFI
2572,Unsubscribed,STOP EMAILING ME UNSUBSCRIBE 
367,Deactivated,Thank you very much. sorry but not interested as we have other places weare using
2111,Deactivated,Thanks for reaching out but at this stage I am fine for recruitment needs
30,Unsubscribed,No interest Emma but thank you for reaching out. Please remove me from your contact lists.
2878,Deactivated,Not exploring it at this point of time. Will connect in case a requirementarises. 
23,MovedOut,Thank you for your email. I am no longer employed by Public Health Solutions. Please direct messages to Lauren F. Hay at lhay@healthsolutions.org. -- The information transmitted is intended only for the person or entity to which it is addressed and may contain 
1361,SeekingMoreInfo,As we discussed on todays call I am sending you the details for AWS. As you have mentioned I would like to connect with your Manager NicolasAnpoine I am sure he would be the right person to discuss the same. Will you please help me with their contact number or email address
2757,ConnectLater,Thanks  for reaching out. Currently we are not looking out for such CFO services. Should in the future we decide we will get back to you.
3333,Unsubscribed,Not interested. . . remove from mailing and calling lists
2404,SeekingMoreInfo,Thank you for your email. Could you please share the latest franchise business model fees revenuesharing client handling terms and conditions etcPreferably a brochure of all details and some free text in mail about anyadditional info you can share regarding this opportunity. Based on info shared will discuss with couple of friends and get back toyou. 
696,ConnectLater,hanks for your email.  At present we are not looking at contract staffing.  We shall revert to you if the need arises in future. 
2150,ConnectLater,Currently I am not able to make time for a retreat but maybe in future Iwill connect with yall
701,SupportAutoResponse,Thank you for your email. If you do not receive a reply from us within 24 hours it means that we have not received the communication. May we then request you to resend the same email again. Thank You
421,OutOfOffice,I will be on PTO at various times during the week of  October 4th.  If it is urgent you can reach me on my cell phone at 808 222-0060 or by e-mail. 
683,AgreedToMeet,I hope you are well. We can schedule a call with Vitoria Nabas for the 3rd August at 11 am London time. Please confirm you availability so we can make the arrangements. 
2662,OutOfOffice,I am currently on a business trip.
461,AgreedToMeet,Can we schedule something on Monday noon or Friday noon. 
44,ReferredSomeone, MinaksThanks for reaching out. I am not the right person for this request. think 
88,AgreedToMeet,Want to have a discussion on certain hiring that need to be closed on urgent basis of IT  Non - IT. Please find the company profile. An call for further discussion on this. Website link
1310,SeekingMoreInfo,I do have requirement for 2 Interns in the Customer Support team who are willing to work in evening shift. The candidate should have good networking knowledge and should have done their BE along with some networking course. Please let me know if you can help us here with this requirement. 
3012,OutOfOffice,Please be advised that I'm on vacation. I'll respond upon my return on Monday Aug 10th. 
3134,SupportAutoResponse,Please type your reply above this line -Your request Reference from Alexs email 4035825595212 has been received and is now being reviewed by the GL Helpdesk.The IT Service Desk is currently receiving a very high volume of traffic and we are now working at capacity and tickets are being triaged on a priority basis.Please continue to submit IT issues in the normal manner but please also bear with us at this very busy time.Thank you for your understanding on this.Alex ClempsonChief Technology OfficerGL Scientific
562,ConnectLater,Thanks for the e-mail. It isnt really what I would be looking for plus I am based in Yorkshire. I cant currently think of anyone that might be suitable either sorry. I attach a copy of my CV for possible future roles. 
283,ReferredSomeone,Thanks for your below communication regarding services offered by SIS. Would like to inform you that we had already interacted with SIS for security services however we  would like to explore further for other services too. May  please interact with Mr. Sudhir Dhamija  9810264004 or undersigned for future communications
3234,SeekingMoreInfo,As discussed yesterday Please share your company profile to review. 
908,ReferredSomeone,Jo Atkinson runs HR across Europe for Aecom and will put you in touch with a suitable colleague. 
1814,Unsubscribed,NOT MY TOPIC - NO FURTHER E-MAILS Please
3238,SeekingMoreInfo,I am reaching out in reference to your email conversation with my colleague Johnetta Kovach regarding our digital marketing offerings SEO  SMO. I am a senior consultant @ foreignerds.com a digital transformationagency and I will be glad to answer all your queries walk you throughour offerings and discuss our pricing  support.coming to your question Below is some quick info on us and ourpricing for SearchEngine Optimization  Social Media Optimization Combo
888,ConnectLater,I shall go through the link which I am sure will beinteresting study. Currently the recruitment is inhouse as we areonboarding people who during covid have left and based at home town. Currently post covid   back to work counselling and mentoring plans aregoing on and we shall soon come up with Recruitment requirements once nextyear budget is finalised. You shall remain one of our preferred serviceprovider. 
466,Deactivated,Thanks for reaching out. I am not interested in exploring a partnership
2457,ConnectLater,You contacted me just before Christmas about this and told me you would be in contact first week in January its now March thanks for getting back to me but I have a new job now
3315,AgreedToMeet, Looping Sonakshi on this email
534,SeekingMoreInfo,I am reaching out in reference to your email conversation with my colleagueAnaya regarding our Digital Marketing offerings SEOSMOPPC. 
1072,Unsubscribed,Please do not write me any longer. 
2784,ConnectLater,Thank you for your emailDefinitely want to come and try out the programLooking at sometime in January
1176,SupportAutoResponse,Please type your reply above this line -This is an automated response.Thank you for your email inquiry Your request 112619 has been received and will be reviewed by our support staff as soon as possible. You should receive a response within 24-72 business hours. Our normal customer service hours are MondayFriday 8:00 AM to 5:00 PM Pacific Time and our customer service office will be closed in observance of any major holidays this year.While you wait for a response to your request please take a look at our FAQs at
3263,ConnectLater,All good thanks
2678,MovedOut,Coby Crouch is no longer with Amazing Lash Studio. Please update your records. You can contact the current Director Chriss at crichards@wellbizbrands.com
2715,AgreedToMeet,Lets connect sometime this weekend to understand and discuss your proposal
1668,OutOfOffice,Thank you for your message. Sorry I missed you. Ill currently on PTO returning Monday July 26th with limited access to email. For immediate assistance please contact Tim Murray at tim. murray@vizientinc.com. Otherwise I will respond to your email as soon as possible. 
2409,AgreedToMeet,Okay
3157,AgreedToMeet,I hope you are well. Please find below the Zoom link:Vitoria Nabas is inviting you to a scheduled Zoom meeting. Topic: Vitoria Nabas Zoom MeetingTime: Aug 3 2021 11:00 AM LondonJoin Zoom Meeting
3360,Unsubscribed,Please take me off of your list. 
1749,MovedOut,Tim McGuire is no longer with the company.  Please reach out to Ed Robben at EdRobben@Orthofix.com or 214-937-2525. 
2217,Deactivated,Not interested any more
1211,ConnectLater,I have done it
638,AgreedToMeet,Lets schedule some time to chat. Im available in Mountain Time:Today - 2:30pm-4:30pmTomorrow - 8am-9:30am and 10am-11:30amFeel free to send an invite in any of these times work for you. 
1038,SeekingMoreInfo,I received your emails. and I am interested in attending the classesrelated to mechanical and process. Can you please nominate my name forupcoming classes
998,Retired,As I retire from SGRE on 30th September I have handed over to Laura.Jankelewitz@siemensgamesa.com  who is now the Head of Local HR Services UKIE.  It would be helpful if you could direct your email to Laura.
2305,Deactivated,I think you are marking me in wrong thread. I am from sales team and I dont know what legal service requirement I need. May be you have mistaken. 
2766,MovedOut,I am longer working for the business. For any urgent emails please contact Matt Ellis at MEllis@astoncarter. co. ukThank you. 
2500,ConnectLater,Thanks for reaching out. We are currently not looking out if in future wedo Ill reach out to you.
3278,MovedOut,Thank you for contacting me Unfortunately due the Covid-19 pandemicI am no longer with the company.  Though the event industry has had topress pause Argyle Event Staffing is still fully functioning and openfor business. Our office phones will remain up and running and we offer you ouremergency mobile phone number below to be sure you are able to reachus outside of business hours if needed. As always we are happy totalk. Please dont hesitate to reach out. Office: 323. 462. 8280Cell: 323. 240. 5050You can also reach out to this team directly:Melanie Harrismelanie@argyleevents.comChris AlbaneseChris@argyleevents.com323-821-4727
2343,SupportAutoResponse,Please type your reply above this line -Thanks for your email. The team is on the case.FYI we have given it a number 13825 so if either of us need to we can refer back to this.If you want to add any further infocomments please reply to this email and they will be added to 13825Thanks again The HR Central Team--------------------------------
2555,Unsubscribed,remove
1232,Deactivated,Thanks for reaching out but not for us. 
222,Deactivated,This is not of interest to us thank you. 
544,AgreedToMeet,Thanks  for your mail. We can speak tomorrow at @ 4 pm. 
1576,Unsubscribed,Please stop calling me I am not interested. 
2443,SeekingMoreInfo,Please share your proposal. Will get back to you soon. Should you have any query please feel free to contact. --Thanks  
686,Deactivated,Thanks for the offer but its not for me
1115,MovedOut,I am no longer with Adaptimmune and this mailbox is not monitored. For internal tech support requests please contact IM Support. For all other inquiries please contact Raven Henin.
2634,SeekingMoreInfo,Benchmark data trends from the last year are in. Our Industry Benchmark site now features over a years worth of data so we thought we would look at some year over year trends by comparing data from January 2021 to January 2020. Well cover:- Sales email response rates- Contact growth- Ad spend- Website trafficLooking to dig a little deeper Customize your view of the data with filters on region company size  industry. Check it out here
2818,SupportAutoResponse,Your ticket Multi Recruit: Recruitment and HR Consulting 5756986507213 has been closed. We hope that the ticket was resolved to your satisfaction. If you feel that the ticket should not be closed or if the ticket has not been resolved please reply to this email. Sincerely Dukaan Support Team
1353,Deactivated,Currently not planning to visitThank you for the concern
1815,ConnectLater, Thanks for reaching us. Currently we have multiple vendor partner who are working with us and nownot much open positions are there  So in future I will come back to you ifrequirement comes. 
790,ConnectLater,At the moment we are not looking for teachers. I shall contact you if needed
3011,AgreedToMeet,Ok Plz.
1053,ConnectLater,We are looking for Splunt architects
1573,ReferredSomeone,"You can connect with the Recruitment Manager Nikesh Kumar Phogat nikesh. phogat@sungardas.com , nikesh. phogat@sungardas.com he take care of Talent Acquisition in Sungard. "
2078,ConnectLater,Thank you for the details. i will get back to you in future if require
1648,ConnectLater,Were very busy right now without free resources for a meeting.  We are not needing your services at this timeif anything changes we will contact your forces. 
2284,SupportAutoResponse,Thank you for contacting us. We have received your request and a ticket has been created. A support representative will be reviewing your request and will send you a personal response.usually within 24-48 hours. Thank you so much for your patience. Sincerely Team Utsav Fashion
1018,Retired,I am now retired. My e-mails are being forwarded to Tom Bjorklund.  His contact info is tomb@valmont.com or 503-589-6608.Sincerely Dennis BealThe information contained in this E-mail message and the documents accompanying this message are privileged and 
2805,Unsubscribed,No thank you. Please take me off your list.
273,ConnectLater,Thanks. I am finding it difficult to spare time at present but surely would like to visit and experience. Will inform when I firm up my plan in future.
2578,MovedOut,Thank you for your email. This inbox is no longer being monitored. Please direct your question to our sales operations support team at salesoperations@alteryx.com
522,ReferredSomeone,Looping @Mohammed Abdullah mohammed. abdullah@kaizen-firm.com
523,AgreedToMeet,lYou can reach out to me at 98196 43267
3341,Unsubscribed,Remove me from your mailing list
882,SeekingMoreInfo,We are looking for react. JS developers
1421,Deactivated,Not interested. T
351,AgreedToMeet,Please let me know if we can connect at 4PM
3002,SeekingMoreInfo,Kindly share  your Company profile Service terms  conditions details to help us explore further. 
2313,Deactivated, Thanks for reaching out.  Unfortunately Im not looking to change from my current role at this time.  All the best recruiting this role it looks like a very interesting position. 
2936,MovedOut,Thank you for your email Ian Clark is no longer with York Capital. For all Technology enquires please contact Maggie Fernandez CTO @ MFernandez@yorkcapital.com
2667,OutOfOffice,Thank you for your email Ill be OOO through 10/18-10/22 and will respond when back in office. Please reach out to Henson Gawliu if yourrequest is urgent
1136,Deactivated, I am very disappointed with your companys services. Thanks  
2633,ReferredSomeone,If you want to do business with the federal reserve you should go to our web site xwww. federalreserve. gov and search cdoing business with the federal reserve
1111,SupportAutoResponse,Please type your reply above this line -Thanks for your email. The team is on the case.FYI we have given it a number 13825 so if either of us need to we can refer back to this.If you want to add any further infocomments please reply to this email and they will be added to 13825Thanks again The HR Central Team--------------------------------
652,SupportAutoResponse,If you have a product support questions please submit a ticket on our SITE
2837,SeekingMoreInfo,Pls let me know tariffs for 2 nights for a detox programme at Atmantan
1065,AgreedToMeet,Apologies for the late reply. Propose next week give me some time slothis on the 5th th or 7th October and I can reply immediately. Ronny KarlsenCFOWind Catcng Systems AS
1950,ReferredSomeone,Please meet our Head of TA Dan. ThanksJo AtkinsonShe her herHR Director EuropeM 44 7341 127 912jo. atkinson1@aecom.com
2947,ConnectLater,Thanks for your message and letting me know about this great opportunity. I would like to work there but I its not possible now because Im outsideof the United Kingdom. And to back there I need work visa. 
3163,ReferredSomeone,Please contact Jennifer Rue Financial Center Chief Risk and Compliance Officer at jrue@fcfcu.com for assistance
1881,ConnectLater,I have to postpone our call and I come back to you with a new proposal.
3096,MovedOut,"Im no longer with Creador Advisors. Kindly contactImMs Priya Raman at priya@creador.com  , priya@creador.coma. emp"
1256,Unsubscribed,stop sending me emails
1426,Deactivated,Not interested thank
169,SeekingMoreInfo,I would like to know more of your company and franchisee details. Let me know when and how we can connect.
2844,ConnectLater,I have already placed and working on my organization
1223,AgreedToMeet,Let us arrange a call on Saturday for a discussion in which all my partnerswho are also copied will attend the call
3167,ReferredSomeone,If you need immediate assistance please contact us at hr@tekfriday.com
2410,ReferredSomeone,If you have any queries related to gh school and Middle school please email Ms. Rasha at rkanan@uasdubai. ae and for Elementary please email Ms. Rania at reldanaf@uasdubai. ae. 
804,Deactivated,I am not interested in such services. 
2068,Retired,"Kindly note Mr. Krishnan narayanan.krishnan@dormakaba.com , narayanan.krishnan@dormakaba.com has retired effective from 1st July 2020. Mr. Ravi Kannan has replaced his position and can be contacted at ravi.kannan@dormakaba.com , ravi.kannan@daimler.com. Pls update your records."
463,MovedOut,I am no longer physically present on Societe Generales Parisian sites. For topics call Yann FravalTakeCareOfYourselfFriendlyJean-Albert EUDEJean-albert. eude@wanadoo. fr
2347,ReferredSomeone,I am the wrong person to talk to. Please approach directly our HR department. Mit freundliche
1826,Retired,Steve Hoge has retired from Medtronic.  Contact Wendy at wendy.a.frantsen@medtronic.com if you have questions
1019,SeekingMoreInfo, Currently we are planning to hire few contractors at the earliest. Enclosed please find the JDs for your reference. Kindly let us know if you can support if yes please share the rate card. Feel free to call me in case of any queries. 
3215,Deactivated,Im using a new intelligent email solution called Gated
1613,SupportAutoResponse,Please type your reply above this line -Thanks for your email. The team is on the case.FYI we have given it a number 13604 so if either of us need to we can refer back to this.If you want to add any further infocomments please reply to this email and they will be added to 13604Thanks again The HR Central Team--------------------------------
2544,SeekingMoreInfo,We do have some urgent openings please  ask you concern to get intouch with us so that we can share the same and get this requirementsclosed. 
220,AgreedToMeet,I have seen the video and i did call back. Someone was supposed to call meback. I am looking forward to coming over there. Hope to see you soon.
368,Deactivated,Thanks Recycling waste isnt something I wouldnt prefer to work on
2963,SeekingMoreInfo,Experthubrobotics.com is distributors of premium robots and offer comprehensive Robotic Solutions including Advisory Robots Robotic Software Robotic Maintaainance for Robots on Sale Rent   Let me know how may I help
550,SeekingMoreInfo,May I request you for your firm profile and experience list. 
2591,ReferredSomeone, johnActually u r connecting with the wrong guy. Im not HR. Thanks
2437,OutOfOffice,Thanks for your message. I am on PTO
1704,MovedOut,Emy Manuso is no longer at Culture Amp.  For any customer questions please reach out to simon. kirk@cultureamp.com
352,SeekingMoreInfo,Thanks for your revert . Our service offerings are as below -  1.  Soft Services HousekeepingPantryGDA  2.  Security Services  3.  Engineering Services Operations  Maintenance of DGHVACSTPETP etc.  4.  GardeningHorticulture Services  5.  Production Support Services  6.  Pest Control  7.  Payroll Management  8.  Waste ManagementLook forward to hear from you
