,Category,Response_preprocessed
123,Unsubscribed,Please unsusbscribe me 
2174,ConnectLater, Thank you for showing interest in working with us. As of now we are not intending to associate with an external agency for our Staffing  Compensation functions. We wish the  in your business and hope that we will work together in the future. 
3367,MovedOut,Thank you for contacting us. We regret to inform you that Chance Dubuque is no longer working at DefinedCrowd. Please direct any future correspondence to Martin Andreas Stein at martin. stein@definedcrowd.com. This message may contain proprietary and 
4825,MovedOut,Thank you for your email but please be advised that I no longer work for ACH Group. For operational matters please contact Service Desk on 08 8159 3699 or servicedesk@ach.org. au. For cyber security notifications and enquiries contact security@ach.org. au. 
2615,AgreedToMeet,Thank you so much for getting back to usFirst Flight Couriers Middle East LLC is one of our most important clients in the courier sector. We can handle any technological or non-technical requirement. For your convenience weve attached to our display Presentation. Please let us know when you are available so that we can discuss further.
568,ReferredSomeone,Thank you for your email. I think your email should be for AUDs HR Office - not the Student Recruitment Office
4480,AgreedToMeet,Apologies for the late reply. Lets discuss this sometime later today. The opportunity looks interesting. My number is 07872167740
4976,ReferredSomeone,"Patrick Vanderhorst Patrick@playbacknow.com,Patrick@playbacknow.com is our director if IT and is handling our Magento migration project.  Feel free to reach out to him to see if he has any needs at this time. Matthew GaluckiBusiness Developmentmatthew. galucki@playbacknow.com,matthew. galucki@playbacknow.comMobile 404. 808. 5482Direct 800. 241. 7785 x1211"
865,AgreedToMeet,I am running behind schedule today  we may have to keep it at 1pm today. 
4103,SeekingMoreInfo,The brochure link is not available. What next Please update meThanksShimon Dongre
2006,SupportAutoResponse,Please type your reply above this line -Thanks for your email. The team is on the case.FYI we have given it a number 13604 so if either of us need to we can refer back to this.If you want to add any further infocomments please reply to this email and they will be added to 13604Thanks again The HR Central Team--------------------------------
4984,Deactivated,Im sorry but were are not a legal practice. So no thanks. 
2017,AgreedToMeet,Thanks for sharing. : Pl call me on my below number
4632,Unsubscribed,aI am no longer living in India. Sorry I missed the chance to go to Atmantanbut with travel restrictions it is not likely anytime soon. Would you please remove me from your mailing list 
721,OutOfOffice,13th Oct and 14th Oct are holidays here in India. I am on PTO and will be back on 20th Oct. If it is urgent please call my cell phone. 
3166,ConnectLater,Adding Glany
4831,MovedOut,Thank you for your email. Mitch Eisen is no longer with gher Logic. Please contact James Willey at JWilley@gherLogic.com if you have any questions. 
1894,ConnectLater,We dont require any kind of service as of now as we have our own hiring. If we need any kind  of help in future we will get back to you. 
603,OutOfOffice,I am out sick today and responses to emails may be delayed. 
3651,AgreedToMeet,Can u call me  talk in detial
3552,Deactivated, Thanks for your email - not something that wed be looking to review atpresent. 
1607,ConnectLater,Thank you for your email
1335,ReferredSomeone, SenderThank you for your message. Siemens Energy now has its own e-mail domain. Your e-mail was forwarded to the new e-mail address @siemens-energy.com. Please update your contact information distribution lists etc. to reflect the new @siemens-energy.com e-mail for this e-mail address. siemens-energy.com
5124,Unsubscribed,No thank you please remove me from your list
4044,AgreedToMeet,Please call me tomorrow around - post 12PM IST
319,OutOfOffice,"Thank you for your email. 
I am out of office from 22nd Aug - 6th Sep with limited access to emails. "
275,MovedOut,Debbie has left PagerDuty in pursuit of a new adventure. If you needto reach someone here please email info@pagerduty.com or give us acall at 866 935-1337. 
4663,Retired,Please be aware that as of Monday June 21st 2021 I have retired from Risk Strategies.I have transitioned all responsibilities and contacts to members of the Risk Strategies IT and Operations team so please contact the appropriate person for any future needs.
2894,OutOfOffice,I will be OOOoffline October 21-22. Please contact Darren Grammich or Frank Ambrosio if you need assistance. 
5082,Unsubscribed,You would need to convince PrideStaff Corporate we are a franchisebusiness. Please remove me from your distribution list. 
1362,SeekingMoreInfo,The contract has been updated please check. 
3971,OutOfOffice,I am out of the office until mid/late October and will likely not be able reply to any emails until my return. 
4261,AgreedToMeet,I have a fairly full schedule now so can we say 10:00 please
5216,SeekingMoreInfo,I havent got your previous emailcould you please resend it once again. Thanks  
296,SupportAutoResponse,Please open a ticket at
1245,Unsubscribed,Please remove. 
1562,AgreedToMeet,yes mam you can call me will discuss over call. 
299,AgreedToMeet,Would love to Plz call whenever comfortable Thanks  
69,SeekingMoreInfo,. Can you share more details about your company what technologies do you hire in
737,SupportAutoResponse,Thanks for your email however Im on annual leave. If your enquiry is support related please resend to servicedesk@dhts.co.uk and a ticket will be automatically generated for you. If your issue is urgent please call the service desk on 020 347 55699 instead.
2599,ConnectLater,I have received many emails from your end. Our team is working with the Minimac team and they have set up the meetingtoday afternoon. If any further meeting is required we will revert back. 
3221,Unsubscribed,Email on domainelectrolabindia.com will not be received immediately and response may get delayed. For further communication and speedy response please send email on domain 
1777,MovedOut,I am no longer with Qlik please resend your mail to Jim. Carroll@qlik.com
151,ConnectLater,Thanks for your proposal since the pandemic situation is going on all projects are slow down. The time being hiring is closed. . once the situation has prove we can go ahead further. Will revert you as per the scenario. 
757,OutOfOffice,I am out of the office
4002,ConnectLater,Thanks for reaching out.  I get contacted numerous times per week by new recruitment providers seeking to work with us here at Tilt Renewables. We have just appointed someone into the GIS role and are not looking at engaging an overseas firm at this point in time.  With a team of just over 50 employees  our recruitment needs are yet to require us to look outside the Australian market and with border closures being what tare the preference is to engaged local talent at this point in time. Thanks for your interest in working with us
3619,Deactivated,Thank you for your recent email. Butler Health System is protected by an anti-spam system called ChoiceMail 
2195,ReferredSomeone,I am copying you to Geraint Evans who leads our recruitment teamThanks
4959,AgreedToMeet,Dinesh Lubrikote is inviting you to a scheduled Zoom meeting. Join Zoom Meeting
1521,MovedOut,Thank you for your email however Im no longer with Qlik. Please resend the message to amanda. hogberg@qlik.com
377,SupportAutoResponse,This message has been automatically generated in response to the creation of arequest ticket a summary of which appears below.There is no need to reply to this message right now. Your ticket has beenassigned an ID of iptp.net 877501.Please include the string iptp.net 877501 in the subject line of all futurecorrespondence about this issue. To do so you may reply to this message
1613,Unsubscribed,Please remove all EdgeConneX contacts from your contact list.
860,ConnectLater,Thank you for writingPlease expect delay in response.
3321,Unsubscribed,Can you please delete me from your mailing list.
4105,SupportAutoResponse,Your ticket User Submission: Junk Mail 7152021 11:46:37 AM has been closed. We hope that the ticket was resolved to your satisfaction. If you feel that the ticket should not be closed or if the ticket has not been resolved please reply to this email. Sincerely Apellis IT
379,ConnectLater,Thank you for your application. Within 2 weeks the Consultant will review your profile and get in touch should your experience fits the clients requirements. 
1724,ConnectLater,Currently we dont need the kind of service you render. We will contact you in case of any future requirement.
2893,AgreedToMeet,Thanks for reaching out I will be more than happy. Do let me knowwhen you want us to have the call any time today or tomorrow. 
2226,ReferredSomeone,Pl contact my Lube engineer Mr. Arun : 9865899266
2663,Deactivated,Thank you for  your interest but we have no need for those skillsets. 
2925,SeekingMoreInfo, If it will not cause any inconvenience please reply to the last paperworkI sent.in case the message might not have arrived please do it right now. 
2926,SeekingMoreInfo,Really I was discussed with your long back ago  and Im very interesting to work with your . But Please tell me what is the investment I need to put for franchise
842,ConnectLater,Received your mails  also have gone through. As of now we do not have anysuch requirementhis but will definately get in touch in case of any needarises.
2125,Unsubscribed,Andy believe you have wrong contact.  Please take me off your list and wishing you the best success
1833,OutOfOffice,I will be on leave until Monday the 18th of October.  If your email or request is urgent and cannot wait please contact dl-risk-cto@ubs.com. Brian
176,ConnectLater,Thanks for reaching out. Unfortunately I wont be able to pursue thisopportunity as I will be moving back to Canada in a few months
2760,Unsubscribed,Junk
928,Unsubscribed,STOP. 
2688,SeekingMoreInfo, If you could send me your company profile will help. 
46,ReferredSomeone,Kindly reach out to Beena regarding this. beena. p@vasttec.in
1097,SupportAutoResponse,-Please reply above this line --thereKabirThanks for getting in touch with LinkedSelling. We monitor emailsupport from9am-5pmCentral Time Monday-Friday. Well get backto you within 1 business day.Cheers.Tom
3227,Unsubscribed,No thank you. Please remove me from your mailing list. 
1469,Retired,"I have retired effective June 30 2020. Contact Brooke Irvin for assistance. Thank you Marshallthink before you clickmarshall puckettWest Alabama Bankoperations 205-375-9573mpuckett@wabt.com,mpuckett@wabt.com"
4606,ReferredSomeone,Thanks for your email please contact Mr. Laxman on 9821469970 marking this email to him he is point of contact   
2857,Deactivated, We have in-house development and we are at this point not looking for any other solutions. 
3976,OutOfOffice,I Will be on personal leave today with no access to emails and limited access to phone. If urgent send me a text and will try to call back at the earliest.
4734,ConnectLater,Thank you for your email. I would like to inform you that as of now we are not looking for any vendor. I will get in touch with you in future. 
3631,Deactivated,Thank you for your email. However we have integrated SMS tools that include risk assessments and do not plan on any changes in the nearest future. 
4305,SeekingMoreInfo,If you would be so kind as to send me some samples of your detailing thatwould be great
284,OutOfOffice,I will be out of the office on vacation beginning Friday 10/22 returning Tuesday 10/26.  If you need immeidate assistance please contact support@logicdata.com. 
5294,AgreedToMeet,Yes i was in touch with . but was very busy this week. will try to call her tomorrow.
4097,AgreedToMeet,Please reconnect. 
1719,Deactivated,Sorry no
4735,AgreedToMeet,please introduce me. 
1372,AgreedToMeet,I am currently in Azerbaijan my local mobile number is994 050 233 7326. I am busy today but should be OK for a call from tomorrow onwards. 
2808,SeekingMoreInfo,I am reaching out in reference to your email conversation with my colleagueAvril regarding our digital marketing offerings. 
2099,Retired,I am retired and not sure you really want to speak to me
4988,OutOfOffice,I am currently on annual leave until Monday 1st November. For anything urgent please contact michaeld@donaldson-timber. co. uk
2418,SeekingMoreInfo,Thank you very much for your support  please give my email id to concernperson   
2094,Deactivated,No
5309,ReferredSomeone,Thank you for reaching out. I am connecting you with Mr. Hasib Rehman whooversees are Human Resources department request you to schedule some timewith him to go over the services. BestAshu
3144,Unsubscribed,Please unsubscribe meBest
2804,Deactivated,Sorry Anna we do little structural steel. 
1863,Unsubscribed,Why are you sending me these spam emails  I dont need any emails from you. I have requested two times to take me out from your list. 
2348,Unsubscribed,No Im sorryI get so many of these. Please do not send
5390,ConnectLater, We use an internal recruit and thus they will reach out if required to external recruiters
258,SeekingMoreInfo,I am reaching out in reference to your email conversation with my colleague Jacqueline regarding our digital marketing offerings
3280,MovedOut,"This person is no longer affiliated with Avero. For support please email support@averoinc.com,support@averoinc.com. For sales please email salesteam@averoinc.commai"
1596,Deactivated,Dear NancyThank you for your email and follow up. At the moment we are not able totake up the sales training. Please note Priscilla transitioned out of GrainPro. 
100,Deactivated,NO Interest 
2517,AgreedToMeet,We are arent we. Lets talk in a month or so :-De bedste hilsner  Kind
1618,SupportAutoResponse,-Please type your reply above this line --Your request SP24709 has been resolved. Feel free to reopen it by replying to this message.Please rate the service on the ticket:Sara1202022 4:13:14 PMRomanAs Applied AI Consulting is the AWS Advanced Consulting Partner Our SaaS-focused DevOps experts come with a special custom DevOps-in-a-box toolbox.DevOps-in-a-box is a pipeline creation engine with a repository of ready-to-use components. Its enterprise-grade and production-ready.It helps our developers to put together error-free code quickly.Fig1: DevOps-in-a-box: pre-integrated scalable ready to use pipelinesLet me give you an example of a recent implementation.We had to create a Secure Docker and EKS environment with STIG complianceWe first implemented IAM-based roles and policies to secure the EKS environment. Used PSP pod security policies to enforce certain policies concerning the runtime of the pod such as running the application process with a non-root-user.The xe2u20acu02dcBuild Container Pipelinexe2u20acu2122 had a STIG compliance checker automation to validate the docker environment configuration against STIG security guidelines.The validator was built in-house with open source
4340,AgreedToMeet,please re-connect.
2858,Deactivated,I am not interested in such services. 
1756,OutOfOffice,I am out of the office on PTO until Monday October 4. I will have limited access to email so if you need immediate attention please contact my assistant Michelle Rudolph. 
3810,ConnectLater,Thank you for reaching out. We are currently not looking for any hosting services. Will revert in case we have a requirement in future. 
4045,Deactivated,Im not interested in this role. Thanks for getting in contact
367,SeekingMoreInfo,Currently we are having a vacancy for Sales  eting Profile . FMCG Sales Experience in sales  marketing pune location is a mustsalary will be from 10k  petrol allowances 3 k per month  incentivesstructure . location will be pune  satara  sangli  kolhapur  beed  and karmala etc. pune pmc and pcmcthanks
4177,OutOfOffice,"I am currently away from the office for urgent matters please contact Jody Rollins - jrollins@auriniapharma.com. 
"
1504,OutOfOffice,Please note I will be away from the office on Friday November 27 2021 with limited access to email. If your matter is urgent please contact Rohan Rajpal at Rohan. Rajpal@brookfield.com. Thank you. 
4195,AgreedToMeet,Can we discuss this further
4721,OutOfOffice,"Thanks for your email
I will be out of office from Dec 23rd-24th due to some personal engagement. "
950,AgreedToMeet,Sorry for the delay. My Head of Digital had resigned. So we have now built a new SEO team. Besides have been going through a mess in my personal life. Hence took me so long to get in touch with you. I have returned to work and the team is ready too. What would be a good time to connect
5284,OutOfOffice,Thank you for your email. I am currently out of the office  with limited email access. I will be returning on 4th Jan 2021. 
20,ConnectLater,Christian and Alex have passed your emails to me as the recruitment supplier liaison.  We are not seeking to expand our current PSL however if this does change and we require your assistance I shall be in touch
1774,Deactivated,Thanks for your emailI am not looking for a job opportunity at this moment
669,SupportAutoResponse,Thank you for your email. If you do not receive a reply from us within 24 hours it means that we have not received the communication. May we then request you to resend the same email again. Thank You
219,OutOfOffice,"Thank you for your email.  I am currently out on GM Paid Family Leave for maternity.  Please contact Rachel Arnesen in my absence rachel. arnesen@gm.com. For SAP payment issues please contact our service desk gmnar2phelp@gm.com,gmnar2phelp@gm.comAndreaNothing in this message is intended to constitute an electronic signature unless a specific statement to the contrary is included in this message. Note: This message is intended only for the person or entity to which it is addressed. It may contain "
4700,OutOfOffice,I am currently on a business trip.
4704,Retired,The time has come for me to say goodbye and to head off into my retirement. Thank you for your emails orders and conversations through the years. I have enjoyed every onePlease expect a prompt response from David Bothner or Tim Adams each of whom will take good care of you
3850,Deactivated, not looking to move thanks. Thanks for contacting me. 
4514,Deactivated,Thank you for your email. Currently I am not interested or rather not looking for any such offered services. Please stop following. If I need anything in future definitely I will approach you. 
3230,Unsubscribed,Please remove my contact information from your mailing list. lyTalisa
2716,ConnectLater,Apologies for the late response from our end. At present we do not have such requirement but we will definitely get backto you in near future. You may reach us on my cell  any time. 
778,Unsubscribed,Please remove me from your prospect list. 
2440,Deactivated,I have been getting mails from you. I just want to inform you that we are one of the largest Automotive consulting companies in the world with a global turnover of more than a billion dollars US operating in 32 countries. While we appreciate your gesture of providing such services we have no need presently of the same. Thanks for your interest in our organisation
1019,MovedOut,Thank you for your email. The person to whom your message was sent is no longer with Sophos. For assistance please contact the appropriate alternative contact below. Sales
2068,AgreedToMeet,Nice to meet you  and I work in the same team. I look forward to speaking with you tomorrow at 12noon. If possible kindly email your updated resume so I can prepare for you. 
3834,SeekingMoreInfo,Please share this task to all students and ask them to submit by Sunday EOD. 1. Identify a source of Mortgage Brokers in Raleigh North Carolina USA. This should be an open list without any signup or subscriptionpaymentrequired to get their contacts. This source should have maximum contactsavailable. Provide the link to the source youve identified for the list ofmortgage brokers. 2. Write an email to the founder of the mortgage broking company pitchingthe need for a custom borrower enhancement app that will increase theirsales closure rate by 45 and how Arkenea can help build the app. 3. List what questions you need answers to in order to create an effectivepitch to the founder of the mortgage broking company. 
2518,Unsubscribed,Not for us please unsubscribe me 
5200,OutOfOffice,I have limited access to my emails this week. For urgent enquiries call my mobile at 0404937628. 
518,SupportAutoResponse,-Please type your reply above this line --Your request SP24645 has been resolved. Feel free to reopen it by replying to this message.Please rate the service on the ticket:Sara1172022 4:13:20 PMRomanGiven the relentless demand for accelerating project execution we think we can ease the hiring pressure a little.As Applied AI Consulting is the AWS Advanced Consulting Partner We have developed DevOps Accelerators focused on SaaS companies so that they can release faster. We have ready-made common components that are ready to deploy. They are tim e tested with other SaaS companies like 7Targets DocuPhase and many others.Here is a list of how much time you can save for various components. This provides you accelerated speed. brThis has helped many companies in reducing the deployment time from weeks to hours.Our DevOps experts use this as an exclusive toolbox to get your work done faster and with high quality. These are pre-tested components.Let me know if you need help from our DevOps experts to pull your project execution dates forward.For More Visit-
2241,AgreedToMeet,Kindly share your contact number
4713,OutOfOffice,"Thanks for your message. I am currently out of office
Your mail is not forwarded. Will be back in the office Thursday Sept 7"
2687,SeekingMoreInfo,Please provide brochure. 
1889,OutOfOffice,Thank you very much for your message. Due to national holidays I am out of the office with no access to my inbox. I will be back on January 11th 2021.
5218,Deactivated,Sorry but were currently on hold.
4459,Retired,I have retired - no longer working. Thanks. Iain.  
2933,Retired,Im retired  
2754,OutOfOffice,"I am out of office and will have limited access to my email. I will try to response your email ASAP. 
"
2481,SeekingMoreInfo,Please share your number so we can discuss this in detail.  
1053,MovedOut,"Im no longer with Creador Advisors. Kindly contactImMs Priya Raman at priya@creador.com  , priya@creador.coma. emp"
3096,OutOfOffice, I am currently out of the office today. If you need immediate assistance please email osc-mgt@byu.edu or contact Sherwin Harris at 2-9322 or Jason Renfro at 2-8020. Thank you and have a great day Mark Morrell Director of Customer Service and Support BYU Office of IT
760,OutOfOffice,I will be out of the office with no access to email until Wednesday September 23rd. Please contact paymentinquiries@djj.com or call 877-848-5276. 
3114,Unsubscribed,You need an UNSUBSCRIBE button at the bottom of your messages
3406,ConnectLater,Thank you for the follow up email. I am not ready for this yet. Will contact you once we are ready to get this kind of learning
215,MovedOut,Please note that I have transitioned out of my role as Program Supervisor for Hoopono Mamo here at Child  Family Service and my last day with the organization iswas Friday October 15th 2021. If you have any questions regarding Hoopono Mamo you can contact the program staff by calling 808 681-1425 or by reaching out to our Program Administrator Eydie McNicoll at emicnicoll@cfs-hawaii.org. Thank you for your partnership and collaboration and I look forward to possibly crossing paths with you in the future in the community. Take care and be well MahaloRachelThis message is intended only for the use of the inidual or entity to which it is addressed and may contain information that is privileged 
5158,ConnectLater,Thanks for the email. Im not looking to move currently but do stay in touch. 
3908,ConnectLater,. Thank you very much for writing to us about providing human forces from yourcountry. Unfortunately due to COVID 19 we reduced our activities and we arere-structuring our business lines. Due to that we are putting off hiringany expatriate till we are through with our restructuring plans. We will notify you on due time. 
1584,Unsubscribed,The Mail which doesnt have contact detailaddress in signature automatically moves to SPAM. Even it is not addressed to me. Please stop sending such mail
3266,Deactivated,Sorry  I am not interested in this any more
3797,AgreedToMeet,Many thanks for the email and invite. Could we possibly move it to U. K. time 12:30pm as I have another appointment to attend to at 10am 
5403,MovedOut,Thank you for your email.  As of 9/3/2021 I am no longer working at Wesley.  Please contact your new IT team contact if we were working on a current project. 
197,OutOfOffice,"Thank you for your email. I am taking some personal time and will not be regularly checking email to try and properly rest. If you need anything immediately please feel free to ring SMS or WhatsApp me at +1 (202) 802-0654. 
I will return to the office on Monday November 11. "
4740,ConnectLater,We are working from home if there are any requirements coming up in futurewe shall contact you
2064,OutOfOffice,Thank you for your email. I am out of the office on personal time returning Monday the 6th. Please direct all inquiries to your project team. If this is urgent please call my mobile phone at 785. 458. 9696. You can also contact Kali Murry who can be reached at kmurry@smg.com or 816. 778. 8255. 
3804,OutOfOffice,I am OOO returning on Friday 1-October-2021For TAPFIN items please contact Tapfinmsp@ey.comFor other items needing immediate attention please contact Rod. Monti@ey.com
1057,Deactivated,I have nothing to do with hiring.computershare is a VERY large company and I am sure there is a HR group that does that but I have no idea who it is
2992,ConnectLater,It is already circulated among our students.
888,SupportAutoResponse,Please type your reply above this line -Your request 4925 has been received and is being reviewed by our support staff.To add additional comments please reply to this email.--------------------------------
5183,OutOfOffice,I am on leave until Monday 11th January.
4955,Unsubscribed,ya habibi why you are sending to me from where you get my email. Im just a normal man . . . I dont have companies or business
2903,AgreedToMeet,Thanks Nisa for reaching out we do have needs for operations cost reduction within organization twe are interested to know more about Extentia. Would any time fit for you for a quick call that you can help me understand your system on Beijing time Feb 18 11 am to 12 pm or 4 pm to 5 pm Otherwise please suggest the convenient time slot. 
569,AgreedToMeet,At the outset I hope this email finds you in good health. This bears reference to my colleagues trailing email correspondence heldwith you some time back. I hereby confirm my availability for 23rd July 2021 for 6. 00 PM SGT i. e. 3. 30 PM IST. I would also like to take the liberty to give you a brief introductionabout our law firm. Vis Legis Law Practice VLLP is a law firm having its law offices inMumbai New Delhi  Pune. VLLP has four 4 partners and twenty 25advocates and is providing legal services and representation to itscorporate and inidual clients across India including cities like MumbaiPune New Delhi Bangalore Chennai Kolkata  Hyderabad before variouscourts and tribunals. VLLP is also engaged in strategic legal advice drafting of transactiondocuments and negotiations for multinational and domestic corporateclients. I have attached here our firms profile and file on servicesoffered for your reference. I would like to connect to explore collaboration opportunities with you andyour esteemed firm. Kindly convey the suitable dates and time-slots I will share the onlinemeeting link accordingly. I look forward to hearing from you. 
3528,ConnectLater,Thanksfor your introduction. Will get in touch with you if required. Thanks  
2991,SeekingMoreInfo,We have not received any profile from you. Please do share your details
1345,AgreedToMeet, I was waiting to hear from you. Please feel free to call if required. Thanks  
140,OutOfOffice,"Thank you for your email. 
I am currently out of the office on annual leave returning on Monday 2nd November. Should your query be urgent please contact my assistant Naomi Marsh on naomi. marsh@macquarie.com. "
1472,AgreedToMeet,Yes pl setup for today or coming Tuesday 5pm India time. 
3200,Deactivated,Thank you for your message however the email address you are trying to reach does not appear to be valid. 
1150,SeekingMoreInfo,Hope you got time to go through the brochure. If you have questions we will be happy to help you let us know if we canstart by next week. 
2310,AgreedToMeet,Kindly arrange call plz
5319,Deactivated,Im so sorry. I dont know who would handle this at Corporate
3780,SeekingMoreInfo,I shall be glad to start at Guwahati from September 2021. Please sendbrochure and agreement forms etc. 
464,ConnectLater, Sorry for not being in touch. We are not looking for hiring services at the moment. Will let you know if we will have any requirements in future. 
