,Category,Response_preprocessed
2984,SeekingMoreInfo,How did you source our emailWe are looking for some external CFO services but this is for complex work- primarily fund raising and valuation work for technology services andproducts. Also for tax planning across countries. If your firm has strong expertise in this then we can have a video call.in this case I would like to have an initial call with someone who is veryfamiliar with this space. To give you an introduction to us - Pegasus InfoCorp is an I. T. servicesfirm with 400 employees. We also have some products in the B2B SaaS space. We are looking to raise money in India or internationally in a fewcountries and need strong CFO services from someone whos already donethis for other firms. We need someone who is well aware of how such dealsare structured and can assist with the same. 
4299,OutOfOffice,I am out of the office with delayed access to e-mail and will respond as soon as possible. 
3293,SeekingMoreInfo,It was nice to speaking to you over the phone. As discussed please find below recruitment proposal from our side . from BHS STAFFING SOLUTIONS PVT LTD . . Bhs Staffing Solutions Pvt Ltd was established in 2014 with keeping our goals in minds and making sure that the customers are approached and catered in the best possible manner. Bhs Staffing Solutions Pvt Ltd is one of the best service providers in the area of Recruitment . Getting the right candidates at the right time is every HR Managers dream we work towards achieving that dream for you.in order to magnify the services we offer please go through with our company profile website 
359,AgreedToMeet,Organizations across the world witness poor performance or conflicts between managers due to inadequate communication skills. To increase the self confidence of your management team and to help them exert authority as people managers we would like to introduce below upcoming workshop. Brand yourself with impactful communicationFirst-Time Managers Development Program. em Some core areas we will cover and offer solutions to include-p Develop communication presentation skills and self confidencep Develop managerial skillsp Align strength of team members with prioritize resourcesJoin us on 17th and 24th August onwards for a 4-day workshop 3 hrsday where well discuss different methods of improving your managers capabilities and performance. Should you have any queries I would be happy to discuss more about this workshop with you. 
4620,OutOfOffice," and sorry I missed youI am currently out on maternity leave.in my absence please reach out to the below contacts. I look forward to following up with you when I return. Account QuestionsImmediate NeedsHalla Karaman OR the Coverage Success RepManager Customer Success Staffing  Recruiting Grouphalla. karaman@careerbuilder.comhalla. karaman@careerbuilder.com20D: 312. 698-0432CB Technical Support QuestionsClient Supportclientsupport@careerbuilder.com,clientsupport@careerbuilder.com"
2726,ReferredSomeone, Ive sent your details through to HR.  They will contact you if needed 
170,AgreedToMeet, Thanks again for your interest in learning more about reDNA. Please let me know your availability this week or next for an introductory call. I look forward to speaking with you. 
714,ConnectLater,Natalie can you see if this is real and if it is and its what we need lets do it
1091,ConnectLater,Thanks for reminder. Somehow I missed this action item will send it by  today EOD. 
2539,ReferredSomeone,Thank you for your email. Diana Kinsella is no longer with Visual Lease. Please reach out to April Miller amiller@visuallease.com for assistance. 
4117,OutOfOffice,I am on personal leave till from 15th June to 24th June . For anything urgent please call on 8879654011
1821,Deactivated,No thanks. 
3446,SeekingMoreInfo,We are not HR. However we can assist your clients in immigration and relocation services in the UAE. If you will send us inquiry we can offer you 20 as referral fees. 
2527,ReferredSomeone,Thank you for your email.  As of 9/3/2021 I am no longer working at Wesley.  Please contact your new IT team contact if we were working on a current project. 
3071,SeekingMoreInfo, Just following up on this - would you be able to share further detailplease
2309,ReferredSomeone,Thank you for contacting ProActive Business Solutions. The email you attempted to contact is no longer valid. Please reach out to Ops@proactiveok.com Ops@proactiveok.com for assistance. 
4174,OutOfOffice,I am on leave till 29-Dec-2019. I have limited access to my mails. So please expect a delay in mail reply. . 
1882,Deactivated,No
1990,Deactivated,Thanks we do not need these services at this time
3851,Unsubscribed,Not Interested please remove me from your list. UNSUBSCRIBEReally not cool to have your unsubscribe link go to a non existent page
3868,Unsubscribed,Sorry this is not my area of responsibility. No further emails please. 
4623,OutOfOffice,I will be out of the office Monday December 21st and I will return to the office on Monday December 28th. During this time I will have limited access to emails. I will return your call as quickly as possible. 
4090,OutOfOffice,Sorry I missed you I am currently out of the office enjoying Mammoth  We will be returning Wednesday the 15th. If you should have an immediate need please email adminassist@cybercoders.com. For all other concerns I will reply when I am back. 
2216,ReferredSomeone,I am felling a bit under the weather today and may not respond quickly. If you require immediate assistance with a Compute service please contact the service desk. 
1064,ConnectLater,I will revert back
3429,SeekingMoreInfo,Could you kindly share the agreement we would be signing before we proceed. After going through the documents i want to discuss with you head once. 
1269,ConnectLater,Thanks for reaching out but instead of using cold listhis weve moved to technology that delivers intent data for us to identify organisations that are xe2x80x98in market. We then use our own 1st party data ZoomInfo and LinkedIn Sales Navigator to reach out to the iniduals at those accounthis so we are not looking for any other data at this time. If anytng should change Ill be sure to reach out to i4Business xIve been using your data for many many years. 
46,AgreedToMeet,I havent got your previous emailcould you please resend it once again. Thanks  
2380,ReferredSomeone,I no longer work for Maven Dental and if you require eting support please contact Chris Williams General Manager who will forward your query onto my replacement that starts on 8th February. Email:  chris. williams@mavendental.com. au
438,AgreedToMeet, Thanks for the email.  Having read the description I am not sure the opportunity is at quite the right level of seniority.  Having said that happy to discuss if you think it is worthwhile. My number is 07765778195. 
4231,OutOfOffice,"Thank you for your email. 
I will be out of the office from November 18 through November 23 returning on November 24. During this time I will be unable to receive email and voice messages. "
1153,ConnectLater,Thank you for reaching out.  I have read your mail about the internet services your company offers. Currently we have a Tata 10 mbps ILL and that is working for us now.  Should I envisage a change we will connect with you. However I have forwarded your contact to my client Hughes Communications India Pvt Ltd. You may receive a call from Mr. Teja. If he calls you work with them. You have a real good opportunity.  
2692,ReferredSomeone,This mailbox is no longer monitored.  For further inquiries please email one of the contacts below:Sales Inquiries sales@blockmidland.comAccounts Receivables remit@blockmidland.comAccounts Payables invoices@blockmidland.com
4545,OutOfOffice,"I am on sick leave. 
Mails will be read and forwarded with great delay during this period. "
4165,OutOfOffice,I am OOO today. I will respond to your message with some delay. If urgent please call me at 31651801845 and leave a voicemail if I do not respond immediately or send a text message. 
1221,ConnectLater,Thanks for follow up. At his moment we have covered our recruitment needs. Any way we would keep your data and contact and I make contact for any recruitment in the near future
825,ConnectLater,Thank you for your email currently we are not hiring through vendors wewill connect with you for future requirements
3617,Unsubscribed,Please remove from your database
2412,ReferredSomeone,I no longer work at Elsevier. Please direct any inquiries to Lisa Tickner at l. tickner@elsevier.com
598,AgreedToMeet,Let us schedule a call 
1194,ConnectLater,I have already completed the survey. 
3321,SeekingMoreInfo,  Thank you for the suggestion if experience then 15 to 20 or else less than 15k is our budget. Please suit accordingly.  Waiting for a positive response
4676,OutOfOffice,I am on leave today. Please expect a delay in response to your emailstext 
1912,Deactivated,Pls note due to suspension of our major business operations we have discontinued the implementation of SAP ERP two years back and have no plans to revive the same in the immediate future
630,AgreedToMeet,Yes please arrange a call back. Thanks
4373,OutOfOffice,"Thank you for your email. 
I am currently out of the office with no access to emails. My job share colleague Shelley Carr works Wednesday to Friday and will respond as soon as she can. "
1443,Deactivated,Sorry no requirement at present
1113,ConnectLater, Thank you for writing in. At this stage we are not explore further tie-ups with TA partners for any services. I have your co-ordinates. Will reach out to you if the situation changes in the future. 
3527,SeekingMoreInfo,Pls let me know tariffs for 2 nights for a detox programme at Atmantan
3627,Unsubscribed,thanks for your email. We dont have any requirement for this but thank you for reaching out
3436,SeekingMoreInfo,I am reaching out in reference to your email conversation with my colleagueRobort regarding our web  app development offerings. 
2098,Deactivated,I appreciate your offer but Im not in the market for these services. 
1915,Deactivated,No thanks. All the best. 
3013,SeekingMoreInfo,My name is Ravi Moodley. I am an experienced eci engineer. My colleague said you have a vacancy for an engineer. Can you send me the details 
3100,SeekingMoreInfo,Sorry it has been hectic week here at intersolar. Could you tell me who the module manufacturer isBRPeter
2420,ReferredSomeone,If you need immediate assistance please contact us at hr@tekfriday.com
2885,ReferredSomeone,I am no longer with Qlik please resend your mail to Jim. Carroll@qlik.com
692,ConnectLater,We are ok for the moment but we will be in contact if we need anyone infuture
4459,OutOfOffice, I am out of the office returning on Monday 6/29 if you need immediate assistance please contact Mike Boush at mboush@spyglassmtg.com otherwise I will return your message as soon as possible upon my return. Thank you
2935,SeekingMoreInfo, If you could send me your company profile will help. 
1874,Deactivated,Thank you for your email.  We have a number of tried and tested companies we work with and at the moment are not looking for any other partners. 
693,ConnectLater,I did see it 
4251,OutOfOffice,I am on leave . For any urgency request you to send me an SMS or Call me. 
1860,Deactivated,Nicole no longer works here.  Were not a target for you.  Dont add me to any lists. 
3559,SeekingMoreInfo,Please Send me mail 
4041,Unsubscribed,Please delete my details
1148,ConnectLater,As of now we dont have any requirements for new staff as all the classesare online now. Will contact you if we have anything in future
724,ConnectLater,thx for the update . unfortunately i do not have any plans in the near future to visit atmanatan. thanking you
3856,Unsubscribed, I am not Jim bad first impression. Please take me off your list. Kathryn FreemanNolan Consulting Group610-714-1545 - cell 
863,ConnectLater, Please proceed with the quotation for Promaster Integrated. 
4521,OutOfOffice,Im currently out of the office for scheduled vacation. Starting 101121 and I will return Monday 07/27/20. My responses will be limited during this time please contact shift safety specialists for safety related issues. Debbie Vandersyde:  Workers comp Coviddeborah. vandersyde@metalsa.comJeff Wilson: EHSjeffrey. wilson@metalsa.comBrandon Petz: Safety Enginneringprojectsbrandon. petz@metalsa.com
2508,ReferredSomeone,I have now left my role as International Sales Manager with Trulife. I have enjoyed engaging with you over the course of my time with Trulife. Please contact Veronica Carey for any queries and she will be able to put you in the right direction. vcarey@trulife.comI wish you the very best of success in your future endeavours with Trulife. 
1003,ConnectLater,Yes  I have received your email  will come to you if get any requirementfrom my connection. 
4749,OutOfOffice,"I am on leave from 30. 10. 2021. I have no access to email. For other HR
related matters I will respond to you once I am back to work on
02. 11. 2021. "
1124,ConnectLater,We are going through your emails in detail. We need time to revert. 
567,AgreedToMeet,Thank you for reaching out. Can we connect sometime tomorrow to discuss
3947,Unsubscribed,Please unsubscribe me from your mailing list.  
919,ConnectLater,Companies that use the flywheel model over the traditional sales funnel have a huge advantage because they arent the only ones helping their business grow  their customers are helping them grow as well. How does it work Simply put the flywheel creates relationships it doesnt just close deals like the sales funnel. By placing customers in the center of your flywheel youll create delight and a never ending cycle of customer satisfaction repeat sales and referrals working in your favor to keep that flywheel spinning. Drive business growth and customer delight with the flywheel 
4235,OutOfOffice,Due to urgent personal and family issues I will be traveling with limited or no access to emails. For important business matters please refer to my team:Ghazi Wadigwadi@trutech. aeVenita Dmellovdmello@trutech. aeAlan Suggittasuggitt@trutech. ae
1527,Deactivated,We are a Pharmaceuticals manufacturing company  not a healthcare service provider. Hope your services may not be relevant to us. 
4112,OutOfOffice,"I am non Medical leave till 30th Spet 2021. Druing the period mails may be addressed to D P PradhanAdditional GMCMSSC ER IINTPC LtdTSTPSDEEPSIKHADIST:ANGULODISHAPIN:759147Email: dppradhan@ntpc.co.in,dppradhan@ntpc.co.in"
3451,SeekingMoreInfo, Do you provide Business Development Executives with minimum 2 years experience in IT ServicesIf yes then please connect with me. 
2099,Deactivated,Thanks for your email not one for me though. 
1331,ConnectLater,Thank you for reaching out to us. We will surely connect with you  if required in the future. 
1014,ConnectLater,Thank you for your earlier emails. We have a very limited recruitment plans at the moment we will contact you if we have Emiratization recruitment requirement in the future. 
2333,ReferredSomeone, Justine Bienkowski is no longer with BetterCloud forassistance please email 
153,AgreedToMeet,Im interested in learning more about this
2366,ReferredSomeone,You must mean someone else Im not Michael. 
1814,Deactivated, Thank you for your email. I am not interested at the moment but thank you for reaching out 
758,ConnectLater,At present we are all in Bengaluru for our final year classes. So thelocation of the internship would be a constraint for us. 
4746,OutOfOffice,Im currently out of the office for vacation. If you need any immediate support please contact 044407222. 
2983,SeekingMoreInfo,Please share our latest profile with them. 
4622,OutOfOffice,Out of the office 12/10-12/11. Limited phone or email access during that time. 
4057,OutOfOffice,I am currently on PTO until Wednesday October 6th. For technical questions or assistance please contact Trevor Bhawanidin at tbhawanidin@cendyn.com. For any operational questions please contact Ryan Greene at rgreene@cendyn.com
1260,ConnectLater,We are web and app development company
2936,SeekingMoreInfo,I dont have anything to invest nor I have the job to survive. can youoffer me a job
2593,ReferredSomeone,"Im no longer with Creador Advisors. Kindly contactImMs Priya Raman at priya@creador.com  , priya@creador.coma. emp"
1234,ConnectLater,Sorry about this as we havent responded to your mail. As of now we are notplanning anything. Will revert as and when we need
2306,ReferredSomeone,Not sure if I have connected you with Mahesh our TA Lead and Poornimaour India HR Lead. Please reach out to them on taking this forward. Rajan SethuramanCEO  Off: 91 44 4344 1704  Cell: 91 9739640005image: Latentview 
2121,ReferredSomeone,Im sorry I dont do the recruitment for the school.  You may have seen a post I shared for my colleague at VISS Central. Your point of contact at VISS would be Julie Howell
4069,OutOfOffice,I will be out of the office Sept 7-9. All orders will be processed while I am out. 
2357,ReferredSomeone, Felicia Dannemann is no longer an employee of MRI and will not receive this message. If you are a MRINetwork member and require assistance please email the MRI App Support Desk - mrisupport@mrinetwork.comThank youThe MRI Team
776,ConnectLater,There is no requirement as of now. Thanks
4731,OutOfOffice,Thank you for your email. I am on leave from 1 Oct 21- 30 Nov 2021and will reply to your mail at the earliest. If this is urgent please contact
806,ConnectLater,Currently we are not going through 3rd party hiring. I will reach out to you in future if I have any suitable planning for taking services from your organisation. Also kindly do reach out to me only for the services in our organisation. Please feel free to contact me if you need any further information. 
4324,OutOfOffice,I am currently out of the office on vacation and will return on January 4th 2021. I will respond to your email upon my return. 
117,AgreedToMeet,Pl remove me from mailing list
1186,ConnectLater,thanks for being in touchIm happy with my current role and not looking for other opportunities. 
2559,ReferredSomeone,Thank you for your message. Please note that I am no longer working for G42ly re-address your message to:martha. kos@g42. ai
3285,SeekingMoreInfo,I am reaching out in reference to your email conversation with my colleagueOlivia regarding our development  designing offerings. 
3606,Unsubscribed,Take me off your list please
28,AgreedToMeet,"Sorry MarkJust seen the email. Please call me to discuss more. My CV is below please text me when u have sent an emaili am working as a delivery driver to pay the bills but not on my CV i am someone and proud not to claim etc. I was let go by Aquatherm at the end of Nov 2020 due to COVIDi look forward to your relpyTony Jacksontonyltd@outlook.com , tonyltd@outlook.com075083 40009075079 98343"
3302,SeekingMoreInfo,Maybe you were busy and you could not join yesterday to get your AI salesassistants trial started. Let me know if you have the contacts ready along with a couple oftestimonials and we can get started. 
1953,Deactivated,No Problem Maam 
2418,ReferredSomeone,Ian Catlin is no longer with Hyland Software. If your e-mail requires immediate action please contact Luke Steiner at Luke. Steiner@hyland.com
4309,OutOfOffice,I will be out of the office until Wednesday July 1. If you need immediate assistance please call 586-795-9135 and press 0 for Client Services. Thank you. 
585,AgreedToMeet,yes we can
1315,ConnectLater,APCU Technology honors the rules set and and defined by DKIM standards 
3609,Unsubscribed,I am not interested please take me off your list
1665,Deactivated,Im currently working with about the job so thanks for your email but Im all sorted. 
564,AgreedToMeet,Yes I am interested. Lets schedule a call. Please call me on 9653629281today anytime around 1:30 PM to 2:30 PM
3023,SeekingMoreInfo,Respected maamMy name is Dipak Chavan. Is this opportunity for training or training cumplacement. 
11,AgreedToMeet,Please share your contact number. 
1171,ConnectLater,Im allset thank you. Matthew BorisVice-President of Sales Americas508-728-2384www. zerto.com
2833,ReferredSomeone,Sorry to inform that Im no longer working in CXA HK.  For any matters please contact Rosaline Chow Koo at rosaline@cxagroup.com from now on for assistance. 
2028,Deactivated,I have now left the business
4037,Unsubscribed,Please take me off of your mailing list. 
2,AgreedToMeet,yes mam you can call me will discuss over call. 
2461,ReferredSomeone,. Effective Friday August 14 2020 I will be moving on from Livingston Steel and will no longer be reachable from this email. Ithis been a pleasure to work with all past business relationsps and please continue to contact Livingston Steel Inc. for all Steel and Rebar projecthis. Please send all future inquiriesbid invitations to the following emails.  Tyler@livingstonsteel.com - Structural Steel EstimatorJason@livingstonsteel.com -Managermorganmccormack45@msn.com- EstimatorDetailerContact the main office at 9027242424 for immediate assistance. Kind 
857,ConnectLater,Its going really well actually. Were all set. 
647,AgreedToMeet,Hope you and your family is safeThank you for your email. I have limited access please expect delay in response. For any urgent assistance please contact on 9763370290. Thank you. 
475,AgreedToMeet,I do have interest. Can we set up a meeting at our facility
2299,ReferredSomeone,Guten TagAn den persxf6nlichen Postkasten gerichtete Nachrichten langen zwar dort ein werden aber nicht vor Mitte November bearbeitet.in dringenden Fxe4llen kontaktieren Sie bitte meine Kollegen der Betriebsfxfchrung unter post. lad1it. bf@noel. gv. at. Mit freundlichen GrxfcxdfenMario Schxf6pf
2844,ReferredSomeone,Just because you deserve a reply I wanted to let you know Mike is no longer employed here
848,ConnectLater,We will not be empaneling any new vendor this quarter. 
1116,ConnectLater, thanks for reaching outWe are still a very small company 11 so for now we dont have any needfor sales assistants. Maybe when we growGood luck with your outreach. 
1678,Deactivated,Yes I have received your email. Basically we are an Architectural firmworking on designs for projects. I dont think your expertise would behelpful for us. 
3935,Unsubscribed,No thank you. Please take me off your list. 
4241,OutOfOffice,"Sorry - I will be in and out of the office Thursday afternoon and Friday - back on Monday and a so I may not respond immediately. 
"
3552,SeekingMoreInfo,Apologies as you can imagine we receive thousands of emails could you send me the message Richard sent to you for reference please
1741,Deactivated,Thank you Sarah. We do not require your input
2876,ReferredSomeone," I will forward your note to our recruitment team,"
770,ConnectLater,Thanks for reaching out. You seem to have a pretty decent service I was not even aware of Artera earlier. At the moment we are committed to use a different cloud provider - this is because of special needs for handling US health data HIPAA and certain expectations from customers FIPS-140-2 certified and validated encryption on top of our requirements for providing an uninterrupted service with rolling updates and DDoS resilience. Having said that Artera is not a perfect match for us at the moment but I will keep you in my mind for simpler applications in fact we were running our development environment on a dedicated hosting in Germany similar to Artera and we are just about to virtualize that too. thank yougabor
4493,OutOfOffice, I will be out of the office until 7/3 with very limited access to voicemail and email. Please reach out to Adam Fuoss at afuoss@silver-peak.com during this time.  Pat Gilbreath
2909,ReferredSomeone,Thank you for your correspondence. This mailbox is no longer associated with an employee agent or contractor of Chinese Hospital. To reach a Chinese Hospitals IT Department please contact Abel Lai at abell@chasf.org
2471,ReferredSomeone, Partner Thank you for reaching out I am no longer part of the Safety Engineering Team as I have decided to take on a new career challenge. Please reach out to Sofia Cohen sofia. cohen@walltopia.com if your query is marketing related and to Borislav Atanasov borislav@rollglider.com for everything else. Kind 
