,Category,Response_preprocessed
3900,Unsubscribed,aI am no longer living in India. Sorry I missed the chance to go to Atmantanbut with travel restrictions it is not likely anytime soon. Would you please remove me from your mailing list 
611,ConnectLater,I will revert back
1847,OutOfOffice,Thank you for your email. I am currently off enjoying the holiday break. Rest assured I will respond when I return to the office on 1/3. 
1429,Deactivated,Not interested.  
3639,SeekingMoreInfo,Currently we do not have any requirement fir legal service. We will revert to you when the need arises.in the meantime please share the details with respect to the areas you specialize in. 
243,AgreedToMeet,Thanks for sharing the details. I would like to know more details. Could wepls contact on Tue 27th if that works for you
3949,Unsubscribed,STOP EMAILING ME   Last time I ask this again
703,ConnectLater,Thank you for your application and we will get back to you once the review has been completed. meanwhile please follow us on Linkedin
2683,ReferredSomeone,I am no longer checking this mailbox. Please contact me at General Catalyst. If you dont have my email there feel free to call: 617-234-7000. 
3198,SeekingMoreInfo,I saw your address is in BC please advise if you have any coordinator in Ottawa or in 
3632,SeekingMoreInfo,Thanks for reaching out. As of now we are not in need of support required on the development side. However I wanted to explore a possible collaboration with you since youare into custom software development for clients. I lead Partnerships atCometChat and we are quickly expanding our footprint by working togetherwith valuable development companies like yours. If you or yourclientsprojects require an in-app voice video text chat solution we canwork together. This is how it works. Technology Partner ProgramWe will give you access to our specially curated DevShop plan which issimilar to our premium offering for Enterprises absolutely free of cost. The only limitation will be that the max users have a threshold of 25users. You can deploy the CometChat apps for as many of your clients as youwant as your own offering we offer white-labelling. 
3588,SeekingMoreInfo, AllWe have one opening position for QA . Please find the QA JD below. 0 - 3Years - Strong Knowledge of SDLC STLC and Software Testing Concepts- Good knowledge of database technologies HTTP and Web fundamentals- Review requirements specifications and technical design documents toprovide timely and meaningful feedback- Create detailed comprehensive and well-structured test plans and testcases- Estimate prioritize plan and coordinate testing activities- Good In communication skills- Exposure to automation tools will be added plus.education- BE  BTech Mtech  MCA  MS  MSC. We have one opening position for Customer Account Manager . Please find theJD below. 3 - 5 Years Handling Customers and Transferring requirementsSkills   - Good in communication   - Understand the problem statement and clearly articulateChecks   - Explain the current project what it does and ask questions on the same   - Give them open ended questions and see how they answer the same. Engineering ReleaseDelivery ManagerSkills   - Familiarity with      - Development cycle      - Tools like TRAC JIRA      - Priority and Severity   - Scenarios   - Team PlayerProduct ManagerSkills   - Think through the feature from Ux ad User perspective   - Compare two products and have opinions on the samePlease reach me out for any details. Shashi Kumar GManager AdministrationTribyte Technologies Pvt LtdPh: 91 9844466477Website 
1631,Deactivated,No tha
218,AgreedToMeet,That fine
2502,OutOfOffice,Thank you for your email. I am on leave from 1 Oct 21- 30 Nov 2021and will reply to your mail at the earliest. If this is urgent please contact
3138,SeekingMoreInfo,Sorry for the late reply. Can you please tell me the location of the job and who is it witH
3296,SeekingMoreInfo,See attached reply I sent last week
3956,Unsubscribed,Please take me off of your list. 
457,AgreedToMeet,You can call me any time before 7pm. 
3225,SeekingMoreInfo,We are looking for react. JS developers
3546,SeekingMoreInfo,Your earlier email is addressed to Manish not to me.  Can you tell me your experience in Fund raising
2310,OutOfOffice, I am on vacation through 1018 overseas with limited access to email. I will check here periodically but if there is something critical please reach out to Jennie Bueneman jennie. bueneman@ungerboeck.com and shell help you. If its not critical i will respond to you upon my return
4061,Unsubscribed,Do not email me on a Friday night
236,AgreedToMeet,Yes pl setup for today or coming Tuesday 5pm India time. 
3822,Unsubscribed,Can you please remove us from your database please. 
438,AgreedToMeet,Apologies for not coming back to you last week it was a very busy week. Would it be convenient to speak tomorrow at 10:30 am London  time
1643,Deactivated, Thanks for reaching out Unfortunately I am not looking to move into a renewablesbattery space pure-play role at the moment. Does Green Recruitment Solutions only cover this space  
936,ConnectLater,Thanks for writing to us. But as if now there is no requirement when therewill be I will let you know. 
594,ConnectLater, Not at this moment. However will surely reach out to you incase we need any help
628,ConnectLater,circulated
1281,Deactivated,Thanks. We have no requirement for this service. 
1381,Deactivated,Thank you for your message however the email address you are trying to reach does not appear to be valid. 
715,ConnectLater,Thank you for the great and interesting Offer. But now we all are very busy with Corona management  crew issues. Theseare most vital issues for any oil and gas company. Your team should only do online Webinars. No Phone call. As these lead to interruptions in management  and  futureplanning. Hope you may understand our concern
3590,SeekingMoreInfo, Abs. Hope you had a great weekend. Would you like us to add a few HR heads and assign them to Abs AliThis way we will see the assistants in action. 
1114,Deactivated, Thank you for the information. But I am more into Digital Transformationand Automation. I was in the maintenance profile long back. 
871,ConnectLater, I think I responded to you on the 8th of October. Maybe it didnt deliverAt present I am quite happy with Vestas and I am not currently looking for a move. But thanks for proposing the below. 
555,ConnectLater, Thank you for your email and interest in working with AECOM. We already have a PSL in place for 2021 and are not looking to add to it at this time. 
93,AgreedToMeet,Kindly arrange call plz
3183,SeekingMoreInfo,Surprisingly I have never spoken to you nor heard anything about you stillyou got to learn about me. Do let me know what have you learnt about me 
170,AgreedToMeet, Thank you for reaching out I would interested to learn more about your system and product. We can set a meeting via MS Teams preferably sometime next week. 
2454,OutOfOffice,I am currently out of the office and will return on Tuesday November 17th. 
1141,Deactivated,Sorry not interested
2397,OutOfOffice,I will be out-of-office from December 24 - January 2. I will reply to emails upon my return. 
3496,SeekingMoreInfo,What is the fee structurehow much does this cost
3475,SeekingMoreInfo,Could you please share the commercials over mail. Wanted to know in detailfor different criteria. 
3934,Unsubscribed,Stop sending mail to me. 
3928,Unsubscribed,KentThis is the fifth email you have sent me. Unfortunately you do not include an unsubscribe option in your emails so I will make that request here. Please take me off of your mailing list. 
2977,ReferredSomeone,This mailbox is no longer monitored.  For further inquiries please email one of the contacts below:Sales Inquiries sales@blockmidland.comAccounts Receivables remit@blockmidland.comAccounts Payables invoices@blockmidland.com
633,ConnectLater,We arent looking for any assistance at this moment. However will reach out when we have a specific requirement in the future. 
3720,Unsubscribed,No thank you - please can you stop emailing me. 
1307,Deactivated,No we are fine thank you 
2907,ReferredSomeone,Note: My old email id is not being monitored and shifted to new email id below:ykuvalekar@nebulaaitsolutions.comKindly update contact details for me. 
474,AgreedToMeet,Looks like a good idea
3246,SeekingMoreInfo,Please find attached a word version of my CV. I am trying to take my address off it but it is not allowing me because I am doing it from my phone 
1220,Deactivated,we dont need anything in this moment. 
3060,ReferredSomeone,this employee is no longer at Worcester Fitness.  Please call508-852-8209 or email andrea@worcesterfitness.com with any WorcesterFitness related business. 
1471,Deactivated,Thank you for your recent email. Butler Health System is protected by an anti-spam system called ChoiceMail 
2481,OutOfOffice,I will be on annual leave December 21 - January 6. Have a great Christmas break. 
51,AgreedToMeet,Let us schedule this for next week
2948,ReferredSomeone,Thank you for your email. I am no longer working at Vibrant Foods. Please contact Meral meral@vibrantfoods.com and she will be able to assist with your requirements 
3169,SeekingMoreInfo,It was nice communicating with you. As we discussed on call I am sending you details about our company afterthat would like to know how we can help you to reduce your AWS cost. . We help companies to provide AWS cost optimization and the migrationservice and help them to reduce their cost on AWS
3271,SeekingMoreInfo,I did apply to Applied AI consulting through college campus interview inJune. Just wanted to ask if this is regarding that rejection Thanks  
830,ConnectLater, Sue I have forwarded your details to our HR team who will contact you if they feel you could possibly help with recruitment 
2427,OutOfOffice,I will be out of the office until 9/8/20. I will be checking emails on a limited basis. If your need is urgent please call your branch office 
278,AgreedToMeet,Thank you for confirming I had checked LinkedIn and I couldnt find you. Tomorrow at 11am does suit as I am on annual leave tomorrow. I will do my best to get the updated CV across to you. 
2362,OutOfOffice,I am on holiday from today and returning on Monday 23rd November. For any business that can't wait my return contact Peter Brady on 0141 885 3436. 
3032,ReferredSomeone,"Marlene Knez is no longer employed at Mountain West Insurance.  Please contact Terry Barber at terryb@mtnwst.com,terryb@mtnwst.com for assistance. "
2077,OutOfOffice,I am away on annual leave and will only be checking e-mails intermittently. 
1993,OutOfOffice,I will be away from the office and returning Monday September 21. If you require immediate assistance please contact Tajinder Gill at tgill@horizonrecruit.com. 
3621,SeekingMoreInfo,Sending it again with spaces
2150,OutOfOffice,I will be OOOoffline October 21-22. Please contact Darren Grammich or Frank Ambrosio if you need assistance. 
2611,ReferredSomeone,Im currently in the process of transitioning from the MUD WTR team to pursue new venturesFor technical items related to MUDWTR please reach out to adrian@mudwtr.com
3741,Unsubscribed,Could you please remove my details from your database. 
782,ConnectLater,Thank you very much for your email. I have forwarded to all my students. 
3057,ReferredSomeone,Thanks for reaching out. Looping in my colleague Sahdev who leads TA. ThanksSaurav Kadam8291958692
252,AgreedToMeet,Yes I would like to discuss it. You can call me today on my mobno. 9999019749. 
811,ConnectLater,Apologies for a delayed revert. Regrettably we have not found a recognisable story with our team members so far. If you allow me to add slightly older stories I can send some. I narrated one of them in the sales conference too. 
1076,ConnectLater,We are not looking out for these services at the moment. Will get in touch if a requirement comes in
1201,Deactivated,We have  already engaged an law agency. Thanks
64,AgreedToMeet,I am available on 7042864848 
3805,Unsubscribed,We are not interested in this type of services. Please remove my email address from your distribution list. 
2451,OutOfOffice,Am on block leave and will be back to office 4th Jan 2021. Officer-in-charge during my absence is Puan Hazleen Ismail ext 71073. Happy New Year. 
2078,OutOfOffice,"I will be out of the office during the afternoon of Friday September 11. I will have limited access to email. 
Otherwise I will be back to you as soon as I am available. 
Thank you for writing. Have a good weekend. 
Best"
417,AgreedToMeet,Is that 12 CETIm okay with that. 
3818,Unsubscribed,Please remove me from your database. We dont even use Salesforce
1225,Deactivated,We are in the medical business so thanks but not really applies to our clienthis
323,AgreedToMeet,Sure lets chat. 
1193,Deactivated,No thank you Sue not at this time. 
1896,OutOfOffice,"Our office is closed for Christmas and therefore Im out of the office and wont be back in until January 4th. 
Ill reply after Im back. Have a great Christmas. "
584,ConnectLater,Yes sorry for the late response. It has been fairly hectic the past month. At present I am gainfully employed in Switzerland. I would like to keep your contact information if that is okIn the future you never know what may happen. As far as a referral I will ask my cousin if he is interested. He is presently working in a service mechanic position not sure  if the travel is his thing. Maybe if just Germany wide. I will ask. Thank you for all your time and care. I will get back to you about the referral. 
3107,ReferredSomeone, MinaksThanks for reaching out. I am not the right person for this request. think 
425,AgreedToMeet,I am running behind schedule today  we may have to keep it at 1pm today. 
222,AgreedToMeet,yes plz call. me after 05. 00pm
3763,Unsubscribed,please remove us from your lists. 
783,ConnectLater,Thank you for reaching out. We are currently not looking for any hosting services. Will revert in case we have a requirement in future. 
2417,OutOfOffice,"please be informed that I am out of office and not reachable by phone. I shall respond to your e-mails and other inquiries as soon as I'm back to the office 28th of December. 
"
3480,SeekingMoreInfo, sirCurrently we have an urgent requirement for Industrial tailor who can workon binding machine. Please let me know if you can provide candidates forthat.initially he had to work 10 days in a month later it can be permanentjob. For further details please call on the below number. Thanks Kiran HR 9958890154  
1065,ConnectLater,DonnaPenhall has recently downsized ithis team and we currently do not have new personnel to enroll. As we ramp up I will be sure to reach out for assistance
551,ConnectLater,Thanks for your emails. We are not in need of legal services at the moment. I will keep your organisation in mind for future requirements if any
185,AgreedToMeet, Lets connect at 3pm today to pick this thread ahead 
2415,OutOfOffice,Long Robert PUR BPRI is currently Out of the Office. . . . . . Please E-mail Scott Miles at . . . . scott. miles@buhlergroup.com
2818,ReferredSomeone,"Please be advised all inquiries to this mailbox should now be directed to Mathew Chase at Mathew. Chase@ellucian.com,Mathew. Chase@ellucian.comThank You"
1447,Deactivated,We have our own development team. 
3340,SeekingMoreInfo,Please share your resume so i can check and revert you on the same
284,AgreedToMeet,Many thanks for the email and invite. Could we possibly move it to U. K. time 12:30pm as I have another appointment to attend to at 10am 
1522,Deactivated,Thank you for your email.  We have a number of tried and tested companies we work with and at the moment are not looking for any other partners. 
4060,Unsubscribed,wrong email adress
3857,Unsubscribed,Not interested. Please stop contacting me. 
556,ConnectLater,I doubt they would be able to afford me. Its likely not right position. Currently Im Director of Solar  Storagefor Huawei Ireland and fairly happy. Thanks for consideration. 
689,ConnectLater,Sorry about this as we havent responded to your mail. As of now we are notplanning anything. Will revert as and when we need
593,ConnectLater,I am sorry for the delay in responding but things are busy at the moment. I am currently in full time employment with centrica but may be looking in the near future depending on what happens over the next few weeks. I will contact you to let you know if I am in the market for a new challenge. 
2040,OutOfOffice,Thank you for your e-mail. I will be out for part of the morning with no access to e-mail. If you require immediate assistance please contract Carrie Kelly at Carrie. Kelly@altertrading.com or her direct line at 314-782-2456. If not then I will reply to your request when I return. 
972,ConnectLater,hanks for your email.  At present we are not looking at contract staffing.  We shall revert to you if the need arises in future. 
1140,Deactivated,I can confirm this is not of interest. 
2747,ReferredSomeone,My role at Colgate Palmolive is the design and engineering of packagingcomponents for eCommercely contact our procurement organization through the portal oncolgatepalmolive.com to present your companys products and services. 
2462,OutOfOffice,"I will be out of the office on Wednesday 1/13 and returning Tuesday 1/19 with limited access to email. If you need immediate assistance please contact Roman Lacanilao at 904-390-1311. Thank you. 
"
176,AgreedToMeet,I await you reply to below email or call back. My mobile is 9820023714 Can you share your mobile number   
2441,OutOfOffice,Thank you for your message. I am on leave with no access to mails. Your mails will be responded with a delay
3759,Unsubscribed,Please remove me from this mailing list. I never signed up for it and itsnot relevant to me
2810,ReferredSomeone,I have moved out of Navin effective July 31st and will no more be available for any official discussions. Pls get intouch with Suresh Nair for any queries related to HRAdmin. 
2382,OutOfOffice,Thank you for your email. I am out of the office until August 7th so please expect a delayed response. For urgent issues please contact ONESOURCE
3437,SeekingMoreInfo,Ben Riley shared a folder with you
3306,SeekingMoreInfo,Thank you for your inquiry I do consider such opportunities but my philosophy is to reward well forperformance after results and not to pay upfront.  If this is yourphilosophy and cost structure can you please send me some evidence of yourprevious performance If it is a compelling case we can take the next step
609,ConnectLater,We wont be able to recommend another centre as we arent sure of their protocols or depth of practise. However if you have any specific ailment then you can connect with our healersdoctors via our tele health platform
912,ConnectLater,At present we are all in Bengaluru for our final year classes. So thelocation of the internship would be a constraint for us. 
960,ConnectLater,Many thanks for getting in touch. For the time being I am not interested in other job offers but thank you for considering me. Please lets stay in touch for the future endeavours. 
507,ConnectLater,We dont exactly have that. But heres a proposal we have recently made for Purplle. It doesnt have numbers because there was some issue with their dataanalytics so we left it out otherwise we always include month on month projections. PFA. 
1679,Deactivated, Thanks for reaching out. Im happy with where I am right now but thanks forconnecting
2916,ReferredSomeone,Thanks for writing. Francois Rogers is no longer with Blue Planet Foundation. If you would like to reach someone at the Foundation or would like Francois contact information please email info@blueplanetfoundation.org. 
2146,OutOfOffice,"I will be out of the office and unable to return emails until Monday 9/28. 
Thanks and have a great week
Mike"
2842,ReferredSomeone,Thank you for contacting Redimeer Limited. We regret to inform you that Natalie Humphreys is no longer employed here. Please direct any future correspondence to Robert White at robert. white@redimeer.com. 
2359,OutOfOffice,I will be out of the office Monday 9/21/2021. Returning 9/22/2021. 
3151,SeekingMoreInfo, SurekhaAs discussed on call today please find below Teams and conditions of our recruitment proposal.  from BHS STAFFING SOLUTIONS PVT LTD . . Bhs Staffing Solutions Pvt. Ltd has been established in year 2014 with keeping our goals in minds and making sure that the customers are approached and catered in the best possible manner. Bhs Staffing Solutions Pvt. Ltd is one of the best service providers in the area of Recruitment . We work across pan India. Our focus is to be multi-functional and reach across all areas Our Strength : xb7         16 in-house Recruiters xb7         Expert in Bulk Recruitment xb7         Sub-Vendors in all over India Cost Structure :Types   Fees    GST     Replacement     Payment cyclePermanent       8. 33 of ACTC up to 20 LPA      Bare by client  In 3 months only one time       within 30 days of DOJ - one timePermanent       10  of ACTC up to20  LPA  to 50 LPA    Bare by client  In 3 months only one time       within 30 days of DOJ - one timePermanent       12  of ACTC Above 50 LPA       Bare by client  In 3 months only one time       within 30 days of DOJ - one timePlease give us your formal acceptance on this email and share your requirments 
3995,Unsubscribed,UNSUBSCRIBE please 
2586,ReferredSomeone,Adam Booken is no longer employed with the Company. If you have any questions please follow up with Corey Ladusky : cladusky2@rbi.com
413,AgreedToMeet,Sure 
2803,ReferredSomeone,Thank you for your email. Tim Casey is no longer working in our company
3383,SeekingMoreInfo,Respected maamMy name is Dipak Chavan. Is this opportunity for training or training cumplacement. 
2106,OutOfOffice,I am out of the office November 12-13 and will have limited access to email. I will return your message as soon as possible when I'm back in the office on November 16. 
97,AgreedToMeet,I was attempting to invite you to a formal 90 minute meeting to meet with other business owners.  I only saw 60 minute time slots. Scott
3094,ReferredSomeone,This e-mail ID dmd@iifcl.org shall discontinue soon kindly send all future communications  to dmd@iifcl.in
178,AgreedToMeet,748593773
1718,OutOfOffice,Im currently out of the office for scheduled vacation. Starting 101121 and I will return Monday 07/27/20. My responses will be limited during this time please contact shift safety specialists for safety related issues. Debbie Vandersyde:  Workers comp Coviddeborah. vandersyde@metalsa.comJeff Wilson: EHSjeffrey. wilson@metalsa.comBrandon Petz: Safety Enginneringprojectsbrandon. petz@metalsa.com
3925,Unsubscribed,Please avoid sending me emailers. Thank You
324,AgreedToMeet,Thank you for your e-mail. Yes we would like to learn more and are open to a discussion. When is it best for you
855,ConnectLater,We are not looking for recruitment or HR consulting services at this point of time. I will connect with you incase of future requirements. 
3913,Unsubscribed,Please remove from database
2905,ReferredSomeone,Thank you for your email. I no longer work at the firm. Please forward your email onto info@goldmanknightley. co. uk. Thank you. 
2019,OutOfOffice,I am on leave today. Please expect a delay in response
1296,Deactivated,I was just letting you know about the error on your mail list. It doesnt create the best impression for your AI software  
3942,Unsubscribed,Please remove
1501,Deactivated,We are no longer taking in any new work. No work no drawing
3236,SeekingMoreInfo, Thank you for sharing the details. Please share terms and commercials for this. 
1138,Deactivated,If I didnt reply its because we are not interestedCordialement  
2276,OutOfOffice,I am out of office. 
1951,OutOfOffice,"I am currently on annual leave. I will return to work on Tuesday 1st September 2021. 
In my absence please feel free to contact one of my colleagues below who will be very happy to assist. "
2700,ReferredSomeone,Thank you for contacting SSB. Ryan Carlson is no longer employed here. Please direct any future correspondence to Bryan Brinks at bbrinks@ssbinfo.com
558,ConnectLater,keep me updated with any offers that might come up. I was under theimpression that this program is available at about INR 17-18k per night fora couple and therefore reached out. If there is any offer by which it isavailable around that tariif do let me know. 
3517,SeekingMoreInfo,Let us know if you work on legal retainership basis 
780,ConnectLater, Hope you  your family members are doing well  being safeThanks for reaching out  but currently we are not looking out for any external hiring support . Would definatly reach out if we have any requirements in future. 
1705,OutOfOffice,I am on PTO and will return Friday 10222021. If there is an emergency please call either John Butler ext. 77082 Burdette Phillips ext. 77347. 
340,AgreedToMeet,please introduce me
2817,ReferredSomeone,I'm no longer leading Viridor please go on line and contact their HR directorPl
2991,ReferredSomeone,Thank you for your e-mail. I am no longer working for West Berkshire Council. If your e-mail is of an urgent nature please contact the Chief Executives office on 01635 519619 and they will endeavour to assist you or email . Elliott1@westberks. gov. uk. 
2089,OutOfOffice, Thank you for your email. 2nd October to 5th October I will be on PTO. My time to reply email will be slower. I will be back in office on 6th October. 
1120,Deactivated,Thanks but currently not needed. 
442,AgreedToMeet, Please send me invite for Jan 03 at 12. 00 Pm
2970,ReferredSomeone,Thanks for your below communication regarding services offered by SIS. Would like to inform you that we had already interacted with SIS for security services however we  would like to explore further for other services too. May  please interact with Mr. Sudhir Dhamija  9810264004 or undersigned for future communications
3119,ReferredSomeone,Rob Marcus is no longer with Philadelphia Youth Network. Please forward your inquiry to mpompey@pyninc.org
1098,Deactivated,Thank you for your email. However we have integrated SMS tools that include risk assessments and do not plan on any changes in the nearest future. 
4014,Unsubscribed,No thank you. You can take me off your list. 
1962,OutOfOffice,Thank you for your email Im currently on annual leave with limited access to my emails. I will be returning on the 19th of October in which I will respond on my return.in the meantime for any urgent queries please contact Sean. Frizelle@controlrisks.com
2105,OutOfOffice,I am on leave till 29-Dec-2019. I have limited access to my mails. So please expect a delay in mail reply. . 
3216,SeekingMoreInfo,Kindly share the approximate quote for the 14 days. Also if there is a 3days program that i can start with. 
3136,SeekingMoreInfo,I have removed the malicious links from the website please review and letme know if anytng still existhis. 
1163,Deactivated,thanks for your Email. We are not interested in your service
358,AgreedToMeet,lYou can reach out to me at 98196 43267
3227,SeekingMoreInfo,Thank you for your email. Could you please share the latest franchise business model fees revenuesharing client handling terms and conditions etcPreferably a brochure of all details and some free text in mail about anyadditional info you can share regarding this opportunity. Based on info shared will discuss with couple of friends and get back toyou. 
2798,ReferredSomeone,I believe you need to communicate with mohamed Mounier and Hazem Barka who you have been communicated first timeThanksKind 
3320,SeekingMoreInfo,Hope you are doing well amp safeWe are excited to offer our platform DigiHyre a solution for Remote Video Interviewing amp Tech Interviews by Industry Experts. It helps to combine Sourcing Screening Scheduling Interviewing Assessments amp Talent planning in one seamless system. The following are the services offered by DigiHyre:
973,ConnectLater,We are in the middle of a migration to Shopify. 
3387,SeekingMoreInfo, Minimac TeamThank you for keeping us in your business and we are very keen to maintain the business relation as well. We are looking for a purification unit to filtrate lube oil qty 5000 gal up to NAS 6. The purification shall be done in a temporary storage tank after draining from the system to the temporary storage tank. Kindly suggest us which machine is suitable for this business and what is the capacity and duration for the purification inclusive the particle counters. Kindly share with us the unit data for our study and quote accordingly. We may required two machine at a time. 
1192,Deactivated,I am already in touch with David. Pl refer to attached email. Its not everyday one works on a 80k GBP position. The local market dynamics are very different. Jeffersonmaguire is tagged for headhunting requirements as and when the contingency arises. 
2756,ReferredSomeone,Thank you for your email. Please be informed that Alin is no longer employed at Knowbe4 and thismailbox is no longer active. Please forward your request to markp@knowbe4.com who will be handlingany further communications
3924,Unsubscribed,I am no interested can you remove me from your mailing list please
565,ConnectLater,There is no requirement as of now. Thanks
458,AgreedToMeet,Sorry for the delay in response so busy with year start choes. I called you but your mobile is switched offI am looking for AP  Math teacher
1551,Deactivated,  am however currently not looking for these services. 
3600,SeekingMoreInfo,I have responded several times. Please check your inbox. 
608,ConnectLater,Companies that use the flywheel model over the traditional sales funnel have a huge advantage because they arent the only ones helping their business grow  their customers are helping them grow as well. How does it work Simply put the flywheel creates relationships it doesnt just close deals like the sales funnel. By placing customers in the center of your flywheel youll create delight and a never ending cycle of customer satisfaction repeat sales and referrals working in your favor to keep that flywheel spinning. Drive business growth and customer delight with the flywheel 
3558,SeekingMoreInfo,Hope this email finds you well. Yes we are in need of nurses in homecare service and if you help us with this we greatly appreciate and do contact me for other details. 
1817,OutOfOffice,I will be out of the office on 10/15. I will return your email at my earliest opportunity. 
443,AgreedToMeet,I would like to thank you for cooperation and you can call me at Egypt timemy mobile Egypt number:  00201227717072 
2770,ReferredSomeone,Dennis Armstrong is no longer with UtilityAPI. If you need to contactsomeone at UtilityAPI please email sales@utilityapi.com. 
4048,Unsubscribed,hanx for your e mail . We are not in need of any such things  . Please do not e mail me for such stuffs
2439,OutOfOffice,"I am on leave from 11 December 2019 to 30
June 2021 and will have no access"
3509,SeekingMoreInfo,what type work
971,ConnectLater,Thanksfor your introduction. Will get in touch with you if required. Thanks  
3909,Unsubscribed,I am not interested please take me off your list
1914,OutOfOffice,"I will be out of office till Sept 2nd. I will have no access to email
during this time and will reply to emails on my return. "
2505,OutOfOffice,I know Im supposed to say that I have limited access to email but the reality is that I have 24/7 access like most so the truth is Im trying to limit my access and juggle family life. Im currently baby free and most likely online Wednesday Thursday and Friday mornings. However if youre tearing your hair out over a recent resignation or are looking to get hold of me urgently please do call me on 07815 816048. 
2620,ReferredSomeone,I no longer use Magento
183,AgreedToMeet,Done. 
1172,Deactivated,Thank you Sarah. We do not require your input
724,ConnectLater,Thanks Mark but I am just starting a contract working from home with DWP handling Universal Credit claimsI am basically running down to retirement in 12 months so just filling in really but thanks for thinking of meSent from Mail
3798,Unsubscribed,Stop  emailing me
1022,ConnectLater, Thank you for the offer. Im not interested right now but am happy to lookagain in 6 months. 
1662,Deactivated,I hope youre well and safe. Im writing this mail to let you know that I dont want to receive anyemails from here on because Ill be busy with my office and wont have thetime to read all. Thank you for your time and efforts. 
475,AgreedToMeet,Sure Jyoti. Monika please let me know best time to call you or you can reach out to meon 7875112396. 
3470,SeekingMoreInfo, what was your previous email
951,ConnectLater,Were very busy right now without free resources for a meeting.  We are not needing your services at this timeif anything changes we will contact your forces. 
3890,Unsubscribed,Please remove my email id from this mailing list
