,Category,Response_preprocessed
1715,ConnectLater,"Just so that you can see how Sakshi (Ai Sales Assistant) followsup, I will
copy her.
You see how she does and then take a call after a few weeks."
2699,OutOfOffice,Thanks for your email. I will be on annual leave from Monday the 27th until Friday the 31st of July.
1924,ConnectLater,will revert back soon
1272,ReferredSomeone,"Sarah Brown is no longer with the Firm. If you need immediate assistance please email Terry Reynolds at: terry.reynolds@americanblock.com, or call the main number at: 281-820-5332 and ask to speak with Terry."
2088,SeekingMoreInfo,"I am still potentially interested. Can you please send me pricing
information? From there I will talk with my partner about setting up a call."
226,ReferredSomeone,"Thank you for your email. I am out of the office on parental leave commencing 19th of June 2020.
For all enquiries and assistance, please contact Iris Ho iho@hrblock.com.au
During this time, I won‚Äôt have access to my email.
Kind regards,
Lucy"
541,SeekingMoreInfo,"Thanks for your email.
What will be the salary at the beginning, Estimated?
At the moment I work in a machine builder company for pharma customer based in Asia. A car is not a bonus at the moment, I don‚Äôt need it.
Please send me more information.
Sincerely yours,
Riccardo Rabe"
3084,SeekingMoreInfo,I like my job at this moment.Working 36 hours in 4 days.Nice car and good paycheck.I only can concider this if i get the same working thermes and a basic salary of 2824750- per month.Then ill would think about it.   no garantiesMet vriendelijke groetRoy Kessels
2216,OutOfOffice,"Thank you for your email.
I am currently out of office for customer visit with limited access of mails, so you can expect delay in response."
2172,OutOfOffice,Thank you for your email. I'm out of office today and have limited access to mails. Please expect delay in my response.
737,ConnectLater,"We are just in process of selling one electro static filter.
We wait for results
eli"
216,OutOfOffice,"Thanks for your email & a Merry Christmas.
I am off spending quality time with my family until the week of
January 4th. I will however be checking emails periodically and will
respond in due course. If it is urgent please reach out on 0402 487
316."
719,OutOfOffice,"Thank you for your email. I‚Äôm currently out of the office. I will return Monday, December 28th. If you need immediate assistance, please contact Allison Inman at ainman@hubgroup.com."
2411,OutOfOffice,"Thanks for the email.
31st July & 3rd Aug is holiday in India responses to the emails may be delayed.
For any HR queries please visit HR Central.
Regards,
Aparna Sakpal"
1563,OutOfOffice,I am currently out of office until Sunday 20th September with limited access to emails.
2630,OutOfOffice,"Thanks for writing.
I'm out of office till 11th Jan‚Äô20 and would have limited access to my mails and phone."
1805,OutOfOffice,I am working from client office and have limited access to emails. Please expect delay in response to your email.
173,OutOfOffice,"Thank you for your message.
I am currently out of the office and I will be back on 24 december.
Your email will not be forwarded, I will answer it when i am back.
For urgent matters please contact tss-service.BE@tomra.com
Thank you for your understanding
Marian Popa"
3099,OutOfOffice,I will be out of the office from June 14th thru June For immediate support with IT related issues please contact the following...John Grochowski330-253-6137 ext 1397john.grochowski@vandevere.comFor immediate support with Marketing related issues please contact the following...Lori Sams330-867-3010 ext 2179loris@vandevere.comOtherwise I will get back with you when I return.
2930,Deactivated,No thank you. We don‚Äôt use SFMC
3040,OutOfOffice,I am out of office this week on PTO.If its urgent you are going to want to text me @ 732 763 7848 i ll be back on Monday next week 12th .If we have a standing meeting I will be there.If this is a support issue please email your ticket to support@glew.io targetblanksupport@glew.io
2263,AgreedToMeet,"I'm interested, please-up a call for further discussion."
2658,Deactivated,till date no requirement.Regards
956,AgreedToMeet,"Great, thanks!"
2711,OutOfOffice,"I am on leave today.
Regards,
Nisha"
2455,Unsubscribed,Please take me off your list.
2296,ConnectLater,"You said you will get back in a couple of days, so my assistant was
following up."
321,OutOfOffice,"I am out of off the office returning Tuesday August 4th 2020. I will have limited access to my email.
For immediate assistance please email Tyler at tylerb@novastaffing.com
Thanks and have a great day."
323,SeekingMoreInfo,I think there‚Äôs a misunderstand. We are an on-demand content writing service. Here‚Äôs our portfolio
269,Deactivated,"We have our own payroll team in the Company. At this moment, I don't think we need the payroll services. Tks.
Regards,"
1709,SeekingMoreInfo,"Thank you for your email. I believe you emailed my company earlier about your ERP platform. While we are already running an inhouse ERP system, I am open to hearing what your platform has to offer, could we setup a video conference maybe to have a quick discussion? Thanks."
2427,OutOfOffice,"Thank you for your email. I am currently out of the office , with limited email access. I will be returning on 4th Jan 2021."
753,ReferredSomeone,Thank you for your email. I no longer work with Trilegal.Please contact front desk at www.trilegal.com/index.php/offices/
1211,OutOfOffice,"Thank you for your email. I am currently out of the office on vacation from Wednesday, December 23rd through Friday, January 4th. I will respond to your email as soon as I return.
Regards,"
1300,Deactivated,"Thank you for your interest in Capital Blue Cross.
I don‚Äôt mean to be rude in any way to you but your email has several spelling/typo errors you may want to correct. Your message may be getting lost with potential customers if they see those errors. I have highlighted 3 errors below in yellow. I am truly trying to be helpful.
We are not currently seeking bids or information on the service(s) or goods you reference in your email.
Regards,"
426,Unsubscribed,"Unsolicited email
Please unsubscribe immediately"
3,OutOfOffice,"I will be out of the office until 1/4. If you need to reach me please call my cell 607-759-1433.
For manufacturing questions please contact:
Dallas Winchell for Power End components 607-937-2227.
Liz Prutsman for General machining 607-937-2328
For shipping and receiving issues please contact Chris Blake- 607-937-2823"
1596,ConnectLater,We acknowledge receipt of your email and we thank you for reaching out to us. We shall be in touch shortly.
1174,SeekingMoreInfo,hi - I am waiting to rent my property. Do you provide the service?
1028,OutOfOffice,I am currently out of the office on a holiday with very limited access to email. If your mail is urgent please call or whatsapp me on +65 8533 7835 orelse I will respond on my return on 29th Jan 2020.
2762,OutOfOffice,"I am working in the plant. I will have very limited access to emails. If you need immediate help, please call the office, 803-755-255"
356,Deactivated,"There is no Jo here.
We don't need these services.
Thanks."
2162,OutOfOffice,I have limited access to my emails this week. For urgent enquiries call my mobile at 0404937628.
897,SeekingMoreInfo,"Please share company job profile, client list & job details.
Best regards,"
2785,OutOfOffice,Friday 22 Oct I am OOO. If you need to get hold of me send me a text message.
2742,SeekingMoreInfo,Please send the brochure.
246,ConnectLater,"My current tenant has not yet vacated the property. I am looking for his
confirm date of vacating the property. I am in touch with Vivek. Will write
back to you guys soon.
Thanks"
200,OutOfOffice,"**Out of office alert**
Please note for Friday December 20th thru to Monday December 23rd, I will be out of the office and will be returning on Tuesday December 24th. I will respond to all to e-mails and v-mails periodically, but expect a delay in my response.
Manage Subscription<https://www.softchoice.com/subscribe> - Unsubscribe<https://www.softchoice.com/subscribe> - Privacy<https://www.softchoice.com/help/privacy> ? Vos abonnements<https://www.softchoice.com/subscribe?store=fr-CA> - Se d?sabonner<https://www.softchoice.com/subscribe?store=fr-CA> - Protection de la vie priv?e<https://www.softchoice.com/help/privacy>"
2858,Unsubscribed,I am not interested.
2299,ConnectLater,"I got your email regarding Oil Purification and Conditioning but due to lockdown, our plants are working in half capacity with half staff. So, We are not position to discuss this in detail. Once, this difficult time get over, we will contact you.
Sorry for the delay in response."
349,AgreedToMeet,"Sure. What‚Äôs your number? Any day works. Post 4 PM, any time. Lemme know."
1063,OutOfOffice,I am currently out of the office. Please contact Sharon Karsten if you need assistance.
2715,OutOfOffice,"I am out of office on annual leave with no access to email until 12th November. If your request is urgent please forward it to Stephen Haycock.
Best regards,
James"
1526,OutOfOffice,"Thank you for your email.
I am out of office until Tuesday Septmeber 8th. Please contact our New Westminster office if you need asistance at 604-684-2259. Please email to BC@ablemployment.com"
2195,OutOfOffice,I am out of the office for the holidays and will return on January 6th. I will respond to your email as soon as possible.
1556,ConnectLater,Sounds good to me. Can you please call me sometime next week?
730,ConnectLater,"Not at this point in time. If need be, in the future, I will get in touch again."
1624,Unsubscribed,We don‚Äôt sell scrap. We are a Dealership.
3164,SeekingMoreInfo,Thanks for writing us. Please share the company portfolio and TC  
1551,OutOfOffice,Thanks for your message! I am out of the office celebrating the holiday season. During this time I will not have access to email and will respond to your message when I return on Jan 2nd. Happy holidays!
1800,OutOfOffice,"I am currently out of the office. I will return on Monday, September 14, 2020. If you need further assistance, please contact Joe at 517-639-7080 or email him at joe@eabfab.com."
454,OutOfOffice,"Hello, I am away until Monday, August 24 and checking email infrequently. For urgent matters please contact Travis Blaschek-Miller. I'll be back in touch soon!
Melita"
372,SeekingMoreInfo,"Thanks , We have solution architect ¬†from Huwaii working on ¬†Technical scoping and .. We have submitted bid already .
We are awaiting next steps already from customer ..
Thanks & Regards,"
990,ConnectLater,Thanks for the prompt response. Can we keep it today at 4:30 PM?
2719,Unsubscribed,"Why do you keep in pushing your product and spamming us? It is not even
relevant.
And who is Emma? I've been working with this company for a couple of years
now and we didn't have Emma who works for us.
Your approach to businesses is really terrible. Is that the way you
approach businesses there in India?"
1810,OutOfOffice,"I am OOO on leave, I will be back in the office on Friday 18th Sept"
940,Deactivated,Thank you Rahul. I am not interested.
2279,OutOfOffice,Thanks for your email. I will be out of the office until 21 Sept.
2571,OutOfOffice,I am now on annual leave until Monday.
238,Deactivated,"Thanks but no need at this time.
Best,
Doug"
600,Deactivated,"We are already using minimac products for oil purification.
Thanks regards
Sourabh Agarwal"
316,Deactivated,"Thanks for reaching out.
However we are not looking at consultants right now. .. thanks"
2551,OutOfOffice,"I will be away from 21 December.
Otherwise, I will respond to your email as soon as possible upon my return.
Have a good day!"
2775,OutOfOffice,I am out-of-the-office returning 12/21/20. If the matter is urgent contacts are below.
1367,ConnectLater,"Hope you are doing great.
Sorry for the late response and we would like to inform you that we have held all our recruitment processes as of now.
We shall get back to you when we resume the same.
Thanks & regards,"
1413,OutOfOffice,Our Kolkata office would be closed for holidays on account of Doljatra & Holi on 09th & 10th March 2020.
1111,SeekingMoreInfo,"Ragarding which subject you meet?
Thank you."
2002,Deactivated,"Thank you for your email, however we do not require any support in this area"
3093,OutOfOffice,Thank you for your email.  I am out of the office for the whole of 23rd July so if your enquiry is urgent please call my mobile.  If not urgent I will endeavour to get back to you on my return.Kind 
1364,Deactivated,sorry we are not interesstet yet.
2026,SeekingMoreInfo,We would like to see a demo.
1797,ReferredSomeone,"Please note that Monday August 31, 2020 will be my last day as a Reynolds employee. If you need anything, please call the main office at 864-232-6791.
Thanks very much and kind regards, Lex Reynolds"
2372,OutOfOffice,"Hello--I am currently out of the office with limited access to emails. I will reply to your email as soon as I'm able.
Have a wonderful day!
Michelle"
1003,OutOfOffice,"I am on annual leave. In case of urgency, please message or call @ 8238877700. Email reply may be delayed."
452,SeekingMoreInfo,For long form content will get it down to 80ppw plus GST without any minimum commitment. Works for you?
2185,OutOfOffice,Thank you for your e-mail. I will be out for part of the morning with no access to e-mail. If you require immediate assistance please contract Carrie Kelly at Carrie.Kelly@altertrading.com or her direct line at 314-782-2456. If not then I will reply to your request when I return.
2781,OutOfOffice,Please note that I am currently out of office. The limited access to my e-mails can cause delay in the replies during my absence.
2911,OutOfOffice,"Thank you for contacting LINK HR Inc!
Please note that I will be away from the office returning August 5th
and will reply to your email upon my return. If your matter is
urgent, you may contact Stacey at stacey@linkhr.ca."
2449,OutOfOffice,"I am OOTO, I‚Äôll response once i am back."
2766,OutOfOffice,"Thank you for reaching out to me.
I am on leave till Sep 18 and hence for anything urgent, please drop an email on rvali@nicesoftwaresolutions.com."
2651,OutOfOffice,I am currently out of the office. Please contact Sam Alphonso to reach me urgently.
1879,OutOfOffice,I am out of the office now until 3/9/2020 in my absence please contact The BMS Team on 0333 121 2010 or BMS@atlantismedical.co.uk
695,Unsubscribed,"I have already informed you that we don't have such requirement while
providing contact details, then why are you send follow up mails.
Pls stop or else I will have to block the id."
1737,SeekingMoreInfo,"The more we know, the more we can improve and the better that will be for all involved.
So, how did we go this time?
How would you rate the support you received?"
2109,OutOfOffice,"Thank you for your email.
I am currently Out of Office for Business Meeting. During this period i will be having no or limited access of mails & calls, so you can expect delay in response"
2705,Deactivated,No thanks.
1006,ConnectLater,"Hi Priyanka, I will save this email and will connect once I have a
Requirement."
1901,OutOfOffice,Thank you for your e-mail. From 2nd of November 2019 till 6th of November 2019 I have limited access to my e-mail.
2811,Deactivated,No thank you.
606,Unsubscribed,Please unsubscribe
1011,OutOfOffice,I may be out of office
813,OutOfOffice,"I will be out of the office today, Monday, 9/14. Please contact Kellie.Sosa@Hydro.com if you need immediate assistance. NOTICE: This e-mail transmission, and any documents, files or previous e-mail messages attached to it, may contain confidential or privileged information. If you are not the intended recipient, or a person responsible for delivering it to the intended recipient, you are hereby notified that any disclosure, copying, distribution or use of any of the information contained in or attached to this message is STRICTLY PROHIBITED. If you have received this transmission in error, please immediately notify the sender and delete the e-mail and attached documents. Thank you."
2063,Deactivated,"Hi Nisha,We are not a diagnostics lab, we develop peptides for histology so we do not require the type of services you are offering.Thanks for reaching out and have a happy new year!"
2897,AgreedToMeet,Looks good to me. Can you please call me Tomorrow.
795,OutOfOffice,"Thank you for your email. I will be OOO from Tuesday Nov 24 returning on Monday Nov 30 and will have limited email and phone access during this time. I will try and return your message as soon as possible. For urgent matters, please contact the respective Avecia PM or Kelly Behrendt (VP Operations)."
1148,OutOfOffice,"I‚Äôm currently out of the office. I will be returning on Monday, June 22nd. If you require immediate assistance please contact Stacey Horowitz at shorowitz@sandata.com."
1223,SeekingMoreInfo,Do you have anyone with Form Assembly skills who can help with a short term contract?
99,SeekingMoreInfo,"We discussed last week about our product offering and how we save O&M cost close to 25% approx..
Wanted to check if need any further information about Source-Right.
Please let me know
Warm regards
Sumanta"
1399,SeekingMoreInfo,How much is your fee?
305,AgreedToMeet,Will do it.
1288,OutOfOffice,"Thank you for your mail. I am on leave, will be back in office on 11th March 2020"
2418,OutOfOffice,I am out of the office traveling on business. Thanks-Cheryl
2345,OutOfOffice,"I can still be reached due to vacation (from 31.10.2020 until 12.11.2020), but will not always respond immediately. Thanks for understanding.
For urgent matters please contact me by phone on +32 (0)475/28.82.56"
1160,ConnectLater,"Thank you for your e-mail / application.
We will revert back to your enquiry in due course."
3061,ReferredSomeone, Sorry I am not the right person to approach within the business. Any HR communications or job applications should be directed to HR@chloros.co.uk FYI
2770,OutOfOffice,"Out of Office Notice
Please note that I will be out of the office returning on September 25.
Thanks.
Allister."
1379,OutOfOffice,"Hello- I am out of the office and will respond to messages again Tuesday afternoon, December 15th. Please text if urgent."
36,ConnectLater,"Thanks for your email.
Due to the declaration issued by the CMDA, Government of Maharashtra, we have to keep all the operations closed till 14th April and hence would be unavailable till 14th April .
In case there is anything urgent and important pls call on the Mobile nos or drop a email. In case remote support is expected we would certainly try our best to extend the same .
Pls expect a delayed response for emails in this phase.
We do understand all of us are fighting this threat together for COVID19.
Do Take Care !!"
996,ConnectLater,"Sure, I will let you know."
825,OutOfOffice,"I am currently out of the office for an extended period, and cannot provide a definite return date at this time.
In my absence please contact the appropriate department manager, or for escalation please direct your email to Robyn Fehr (rfehr@canadadiagnostics.ca) or David Wetter (dwetter@canadadiagnostics.ca).
Thank you."
123,OutOfOffice,ÔªøThank you for your email. I am on leave on Friday 13th November and I will reply to your email when I return.
2600,OutOfOffice,"I am out of the office on Annual Leave returning to work on Monday 28th September 2020.
Alternatively I will resond on my return.
Thanks, Becky"
1420,OutOfOffice,"ÔªøThank you for your email. I am currently out of the office with limited access to email. I'll respond to your message as soon as possible.
Kind Regards,
Vijay"
365,OutOfOffice,"Thank you for your email.
I am currently working on a part time basis (Monday, Thursday and Friday) until January 2021.
I will reply to your email when I return to the office.
If you email is urgent please use the following escalation contacts during my absence"
284,OutOfOffice,"Thank you for your e-mail. I am on leave from 30th Dec 2020 to 1st Jan 2021 and will be back on 4th Jan 2021. Kindly expect delay in response.In case of emergency kindly drop an email to me or Nikhil Patil for immediate assistance.
Regards,
Pooja"
487,OutOfOffice,"Hello! I am out of the office today and will return tomorrow. If you have an urgent request, please contact Emily Hayes. Cheers, Indi"
1992,ReferredSomeone,"As of 9/15/17, I am no longer with Extreme Networks. Please contact Raymond Garry (garryr@extremenetworks.com) for any UC related inquiries. For immediate technical assistance, please send an email to ITServiceDesk@extremenetworks.com.
Thank you,"
1775,ConnectLater,"Thank you for your email.
We will respond to all emails within two working days. If your query is urgent or if you have a job you would like us to work on then please call your local branch:"
2738,OutOfOffice,I will be out of the office till 1/1/2021. I will respond to your message intermittently.
2513,AgreedToMeet,You were interested in knowing about Sales AI as per below email.
2754,SeekingMoreInfo,"Thanks for the email..
Kindly suggest your charges and the services involved.."
1792,ConnectLater,"I have already replied you in whatsap. And you also responded for the same.
I have mentioned the situation we are facing and if there is any changes I
will let you know."
1248,ConnectLater,"Thanks for reaching out. We wouldn't be needing any services as of now.
Will get in touch if needed.
Thank you!"
2083,OutOfOffice,"I am on leave till 29-Dec-2019. I have limited access to my mails. So, please expect a delay in mail reply.."
1946,OutOfOffice,"I am out of office from 12th-15th September with limited connectivity.
I will be sure to get back to you at the earliest once I am back."
2341,OutOfOffice,I am offline and enjoying family fun for the holidays through January 2nd.
3101,ReferredSomeone,After January 31 please contact Remi D. Franklin at 973 364-7727 or Remi.Franklin@CohnReznick.com and your message will be forwarded appropriately. Thank you.
2219,OutOfOffice,"Thank you for your email. I am traveling on vacation out of the country and will be unable to respond timely to your email. I will return to the office on Monday 12/23 after which the Deloitte offices will be closed for the holidays through January 3, 2020."
953,Unsubscribed,Stop spaming please.
117,OutOfOffice,"OUT OF OFFICE ALERT:
I will be out of the office returning 1/4/2021. Please reach out to your customer service team for immediate load execution issues.
Regards,
Jeff Hoisington"
391,OutOfOffice,Thank you for your message. I‚Äôm currently on leave today until October 27th. I will have limited access to emails and will respond to you shortly.
1467,OutOfOffice,"I am out of office on PTO from Oct 19-23, 2020 with VERY limited access to email. So please expect delays in my response."
1744,ConnectLater,"Thanks for the mail
I will get back to you when the time is right"
598,OutOfOffice,"Thank you for your email I will be out of office for UAE National Day and annual leave from 1st December to 9th December returning to work on 10th December 2020. I will have access to my emails but my responses may be delayed and most will only be responded to when I return to the office on 10th December 2020.
Should your query be urgent please feel free to email either of my colleague Norma Dysangco but please be aware the whole UAE office is shut until 6th December"
491,ReferredSomeone,"Thank you for your note. Commencing November 2, 2020, I am no longer
with MEDA. For your convenience, your emails will be automatically
forwarded to Luis Granados (lgranados@medasf.org). If this is an
urgent request, please call (415) 282-3334 for immediate assistance.
Kind regards,"
614,SeekingMoreInfo,"This is Hanish(HR recruiter).We are glad to see your continuous efforts to work with us.I was busy in few other works and apologize for not responding to your mails.
As you said,If you can help us on recruiting with our required candidates, that will be great. Please contact me on the below mentioned number and then we can discuss further.
Regards&Thanks,"
1694,SeekingMoreInfo,"I process payroll for ELID Group of Companies (100 staff) for the past 23 years.
Do you employ retiree when I retire in Dec 2021 at age 60 yrs?"
917,OutOfOffice,I am out of office.
2465,Deactivated,"thank you for your email.
I am not looking for a job at this moment."
1732,ConnectLater,"I hope you are well.
I‚Äôd be happy to connect toward the end of October, if that works for you let me know."
166,Unsubscribed,Unsubscribe
212,AgreedToMeet,"Thanks for contacting venpa staffing services, please send your updated profile to jobs@venpastaffing.com. Our HR team will reach you once your profile shortlisted. Visit our website for further assistance www.venpastaffing.com. you can reach our customer care for your career guidance : +91 90254 87875 (10am - 5pm) in all working days."
840,ReferredSomeone,"Don Boyer is no longer with Crystal Industries.
Please email the following for assistance:
Roger Sponseller rsponseller@crystalindustries.net
-or-
Kevin Anthony kanthony@crystalindustries.net
Thank you for your business."
272,OutOfOffice,"ÔªøÔªøThanks for your email. I am out of the office on leave until Monday 11th January. Please give me a call on +61 419 126 466 if you need to contact me urgently, or you can try contacting Franz Eilert, Steve Balfour Brown or Alex Hodges. Otherwise, I'll respond to your email when I get back."
1941,ConnectLater,Will call if we are required. Please stop follow-up
1772,OutOfOffice,"I'm away on personal leave today , 'I' would have no access to emails. PIs expect delay in response."
3105,Deactivated,I am very disappointed with your companys services.Thanks  
539,OutOfOffice,I am at Deloitte University in a training session for the remainder of the week with limited access to email.
1794,OutOfOffice,"Sorry I will be out of the office returning 9/21/20, please expect a delayed response I will have no internet access at this time."
2616,OutOfOffice,Hello! I am attending an all-day training today and will respond to your message at my first opportunity.
2032,OutOfOffice,Thank you for your message. I am currently on PTO from 22-29 November and will have limited access to email and phone.
1196,Deactivated,"Many thanks for your email. We are not looking for any additional support in this area at the moment, but many thanks for making contact.
With kind regards,"
1894,AgreedToMeet,Yes sure. Set up a call post 4 pm
2956,OutOfOffice,I am on leave today. Please expect a delay in response to email.
61,OutOfOffice,"I am out of office on PTO through 12/18. For Support escalations or critical Support issues, please call Support on +1-888-463-6259."
779,OutOfOffice,"Hi there - thanks for your email.
I'm travelling for remainder of today so limited access to emails or phone calls for rest of afternoon.
Stay safe.
Kind regards"
688,OutOfOffice,"Thank you for your message.
I am on Leave till 3rd June and having limited access to e-mails.
Reply to your e-mail will be delayed.
With best regards,
Manoj Katira."
2457,OutOfOffice,I am out of the office until Monday 12/16.
2797,OutOfOffice,"I will be on vacation the week of July 6th. I look forward to responding to you on July 13th. Thanks,
-Bill"
1457,OutOfOffice,"I Will be on personal leave today, with no access to emails and limited access to phone. If urgent, send me a text and will try to call back at the earliest."
1158,OutOfOffice,"Currently I am on leave. Will be joining back office on Monday. Will check
if we have some requirement for these products."
1955,AgreedToMeet,Thanks.
2165,ConnectLater,"Dear, unfortunately activities are paralyzed in Brazil because of Covid 19. scheduled to return in August. It works the essentials. Thanks for contacting me, but I'll talk later."
3000,Deactivated,We are not interested at this time. Please remove me from your contactlist.SincerelySamantha KnechtDirector of ITBetter Business Bureau Serving the Pacific SouthwestDirect 602-212-2251Office 602-264-1721A Community of Trustworthy Businesses  
2725,OutOfOffice,"Thank you for your email. I am currently on leave until 04/Jan.
Regards
Tam Huynh"
2027,OutOfOffice,"I am out sick today, and responses to emails may be delayed."
578,OutOfOffice,I will be on vacation from 8/5/20 until 8/12/20. If you need anything please contact Stephen Kulak
777,OutOfOffice,"I am currently out of the office. Please contact atmhelp@gopai.com if you need immediate assistance.
Thank you!"
292,OutOfOffice,"Hi, I am enjoying family time until the 11th Jan. For urgent enquires please text me for a faster response. +61 408171223.
Kind regards,
Ben"
459,OutOfOffice,"Hi, I am currently out of the office, returning on Monday.
For any urgent assistance please contact : steve.brennan@suehill.com<mailto:steve.brennan@suehill.com>
Regards, and many thanks
Lee"
34,Unsubscribed,Stop emailing me!
1176,OutOfOffice,I am currently out of the office on annual leave until Monday 2nd of November and will have limited access to email. I will respond as soon as possible. For urgent assistance please contact the office on +65 6597 8380.
542,ConnectLater,"Happy Wednesday! Thank you for your mail and your interest towards
associating with Unbxd and regret the delayed response.
Given the COVID -19 pandemic, we have paused our hiring plans until Q4.
Although we are hiring a very few critical reqs, our team is doing this
through direct sourcing as we have kept all our agencies we work with on
hold until further notice (to optimize cost more effectively for this
year).
With this, we are also not looking at making any changes to our current
empanelment this year, however, if anything changes in the near future,
will surely reconnect with you. Else, we can reconnect sometime next year
in Q1 to explore if we can partner with your organisation.
Do stay safe and take care and thank you once again for reaching out!
Thanks & Regards,
Smitha Rao"
2937,AgreedToMeet,Great! Lets have a meeting.
997,OutOfOffice,"Hello, I am out of the office on PTO Wednesday-Friday Sept 23-25, returning Monday Sept 28. I will have limited email and phone access. If urgent you may contact Jolyn Allen, or text my Univar Solutions mobile# 832-610-1956. Best Regards, Larry"
256,OutOfOffice,I will be out of the office until January 3rd and checking my emails intermitently. If you have an urgent issue call my cell at 804-263-5636l Happy Holidays!!
370,OutOfOffice,I am currently out of the office returning September 16th with limited access to e-mail. I will respond as soon as possible.
80,OutOfOffice,Out of Office
2495,Unsubscribed,I have clicked on unsubscribe many times. Please remove me from your list or I will mark you as spam.
496,OutOfOffice,"Thank you for your email.
Kindly be informed that I am currently on Maternity Leave.
For any urgent matters, please contact my colleague - Ms. Ann Drea Ooi
(anndrea.ooi@forefront.com.my)
Apologies for any inconvenience caused and have a nice day. :)
--
Thanks & Regards,"
