,Category,Response_preprocessed
303,AgreedToMeet,Sure lets connect on this sometime on Monday. -
227,AgreedToMeet,You can call me at any working hour on 93378877279861365524 
1243,Deactivated,I am responding on behalf of Vanessa. As we already have hired an accountant we would not be needing this service. But thank you so much for reaching out. 
2091,MovedOut,Please note that I am no longer at Jobvite. If you were working on a project with me and were not already assigned a new PM then please contact Melinda Broome at Melinda. Broome@jobvite-inc.comIf you need immediate asistance then please contact supportcs@talemetry.com
1455,Deactivated,Thanks for reaching out. This is not something that I am considering at the momentBest 
1832,MovedOut,I am no longer using my Acelity email address. Please use rtimothy@mmm.com for all future corresponence. ThanksRonan
712,ConnectLater,Our teacher recruitment is run through our central office. I will keep you in mind if anything changes
1556,Deactivated, Thank you for your e-mail Im ok at the moment. King 
1783,MovedOut,I have now left he company and this account is no longer monitored
2191,OutOfOffice,Thank you for your email. I am currently attending a seminar with limited access to emails. I will be responding to your email at the earliest convenience. If the matter requires urgent attention please contact CTS Reception on 1300 283 247. 
2337,OutOfOffice,Thank you for your message I am out of the office until January 21. I will not have immediate access to my email and will respond to your message at my first opportunity. Thank you Lindsey Word
1694,MovedOut,As of September 21st I am no longer an active member of ElemenoPlease update your address book and reach out to the following awesome Elementals instead steve. mundro@elemenohealth.com
2609,OutOfOffice, I am away from 9 Sep (Wed) to 18 Sep 2021 (Fri). Please contact AmBank IR team at 019-209 3955 or Yee Tyng (03-2036 1435) for any IR related matters. Otherwise I will respond to your emails as soon as possible upon my return on 21 Sep 2021 (Mon). Thank you
1984,MovedOut,Thank you for contacting Charlottes Web. We regret to inform you that Erin Bovard is no longer employed here. Please direct any future correspondence to dan. ukleja@charlottesweb.com
2703,OutOfOffice,I am not at work on Friday September 18. 
1655,Deactivated, Thank you for your email however I am not currently looking for a new position. 
3745,SeekingMoreInfo,We have vacancies now for this reason we called couple of times anddropped a message to one of your employees Mr. Benoni who was worked withus before but there was no response. So we approached other Consultancy. Can you please ask your employees torespond on time. 
994,ConnectLater,We just built a team in India that is helping with these efforts. Thank youfor your help. 
2105,OutOfOffice,"Thanks for your Mail. 
I am on leave from 18th Nov to 26th Nov'19 with No/ Limited access of mail. "
363,AgreedToMeet,In truth I havent played with wind for a long time and that was inScotland and Wales and no solar or battery but lots of experience in powerand structures. The switch gear ends up the same it is either mounting a panel on a frameor a battery on a plinth. I have lots of experience of moving large heavyitems and did alot of work on the transport of blades and towers. I am free every lunchtime. Andrew Wadman
1275,Deactivated,We dont have any requirement. Best 
1296,Deactivated, Thanks for reaching out. Im happy with where I am right now but thanks forconnecting
3285,SeekingMoreInfo,CustomerKindly please be informed that your shipment with the above-mentionedtracking number requires further information for Customs clearancepurposes. Please refer to the attachment for details. 
3082,ReferredSomeone,As of September 14 our company name has changed to Firstup andour email addresses have changed as well. My new email address is nowbrandon. crawford@firstup.io. Your email has been forwarded to my new email inbox but please updateyour records to reflect my updated email address. 
519,ConnectLater,Thank you for your application. Within 2 weeks the Consultant will review your profile and get in touch should your experience fits the clients requirements. 
765,ConnectLater,I did we are good for now with our existing system. We will reach out ifsomething changes. 
2198,OutOfOffice,"I am on leave from 11 December 2019 to 30
June 2021 and will have no access"
3589,SeekingMoreInfo,In this letter I send you all the necessary papersregarding our soon meeting right as we revealed just recently. Please takea look at
3595,SeekingMoreInfo, ChandlerDo you have any pre-vetted software engineers that are US citizens withJavaSpring BootReact experience
3495,SeekingMoreInfo,See attached reply I sent last week
3871,Unsubscribed,No interest - Please take me off your list
1117,Deactivated,I may not be the right person for your repeated emails
395,AgreedToMeet,16-09-2021 11:00
2357,OutOfOffice, Am not in office today. For anything please reach out to Sumeet Gujral/Arti K. For anything urgent you may reach out to me on my cell.  Govind Mohan
4158,Unsubscribed,Please remove me from your mailing lists immediately. We do not use recruitment agencies
3435,SeekingMoreInfo,Thanks for your mail. Could you provide a detailed brochure of the services being provided by your organization. 
1697,MovedOut,"Steven Wexler is no longer working for iEARN-USA. Please direct any technology inquiries to Jennifer Russell at technology@us. iearn.org  , technology@us. iearn.orga. You may also contact her at 212-870-2693 ext 4922"
201,AgreedToMeet,please introduce me
1154,Deactivated,Thanks. No such requirment at present . 
1693,MovedOut,Ricardo Rivas is no longer with Tellepsen. Please contact the main office to be routed to the appropriate person. Contact Us
524,ConnectLater,This is In discussion please bare with us 
1923,MovedOut,Thank you for your email. I am no longer working at Vibrant Foods. Please contact Meral meral@vibrantfoods.com and she will be able to assist with your requirements 
552,ConnectLater,Currently not required if in case required in future then will get back toyou.  
116,AgreedToMeet, This is Pooja from Aga Khan Education Service India. Tried reaching you for the requirement we had currently in our organisation. Kindly call on this number - 9773900540
88,AgreedToMeet,Will arrange a call back. Whats your no
520,ConnectLater,I have forwarded your email to our Human Resources who are responsible for such partnerships. They will contact you in case there is an interest 
3421,SeekingMoreInfo, Just following up on this - would you be able to share further detailplease
102,AgreedToMeet,Can we connect at 10:30 today to discuss. Do let me know your availability. 
549,ConnectLater,Thanks for your emailCurrently we have oil purification technology however if i need any adviceor look for any technology definitely i will contact you in future. 
3446,SeekingMoreInfo,Thanks for following up. I am based remotely out of California. Is thisopportunity accommodating of that If not I think it may not be the rightfit at this time. Let me know. 
3294,SeekingMoreInfo,Also we would like to go through the other terms and conditions you have. Can you please send us the agreement draft
3674,SeekingMoreInfo,I missed the earlier email. Your email is an interesting one. Let me check your website. 
4020,Unsubscribed,stopSent with Shift
2484,OutOfOffice,I am out of the office November 12-13 and will have limited access to email. I will return your message as soon as possible when I'm back in the office on November 16. 
2549,OutOfOffice,"Please be informed that Im on PTO today and I will respond to you when Im back to office on 17th August 2021 Monday. 
Thanks. "
2975,ReferredSomeone,I have included our HR manager here.  She will be handling continuingeducation
3426,SeekingMoreInfo,Its one of my goals to learn lubrication really I need this beside my job
1350,Deactivated,No thank you Sue not at this time. 
